Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-13,3988,4.130,4.180,287.208M,4.190,4.300,350.377B,4.120,1.190B,4.170,4.050,140.490M,4.130,4.169,4.140,4.179,3966,4.187,"300,167",4.285,4.143,4.035,4.960,3.568,"4,130",50.612,0.010/0.010,1.724%,6.027/5.533,0.253%,5.324/5.630,6.815,RMB 0.560,+1.095,RMB 0.176,RMB 5.082
2018-06-13,0003,15.000,15.200,17.753M,15.200,15.591,233.873B,N/A,267.775M,15.180,15.136,26.922M,14.980,15.363,15.000,15.320,1361,14.913,"196,749",14.392,15.083,13.725,15.591,12.773,"15,000",50.090,0.020/0.020,-1.257%,28.061/27.985,0.711%,2.121/2.160,-1.767,HKD 0.535,+0.256,HKD 0.318,HKD 3.928
2018-06-13,0005,76.650,77.000,13.402M,76.750,78.250,"1,562.988B",76.300,1.029B,76.300,74.650,47.387M,76.650,76.395,76.700,76.765,3218,75.829,"319,717",77.222,76.780,74.603,83.582,63.572,"30,660",51.988,0.050/0.050,2.268%,20.352/13.956,3.817%,5.196/5.221,0.594,USD 0.480,+0.692,USD 0.510,USD 9.362
2018-06-13,0066,44.050,44.600,2.125M,44.550,45.900,267.721B,43.900,93.722M,44.550,43.500,5.369M,44.000,44.340,44.050,44.507,729,43.476,"128,562",42.773,44.104,43.655,45.930,39.680,"22,025",54.986,0.050/0.050,-0.452%,15.565/25.821,1.392%,2.543/2.577,-0.325,HKD 2.830,+0.374,HKD 1.120,HKD 27.681
2018-06-13,0688,28.850,N/A,16.039M,28.700,28.950,314.443B,28.600,463.683M,28.950,24.850,129.920M,28.800,27.315,28.850,26.890,1713,26.537,"270,685",27.335,28.910,25.804,31.750,21.700,"57,700",67.978,0.050/0.050,14.032%,7.755/7.755,1.976%,2.773/3.224,7.101,HKD 3.720,+1.164,HKD 0.800,HKD 24.251
2018-06-13,0006,55.950,56.250,2.936M,55.800,57.150,119.092B,55.700,164.494M,56.200,54.000,14.095M,55.950,55.090,56.000,55.028,1074,56.454,"153,160",57.955,56.027,58.136,65.920,51.500,"27,975",52.146,0.050/0.050,3.420%,14.346/15.126,2.624%,29.133/5.156,1.303,HKD 3.900,+0.318,HKD 16.300,HKD 44.784
2018-06-13,0700,415.200,420.000,12.210M,417.400,431.600,"3,967.009B",415.000,5.092B,420.000,389.720,715.400M,415.200,413.880,415.400,409.278,9965,403.203,"510,941",424.260,417.035,376.139,475.720,259.520,"41,520",55.538,0.200/0.200,5.114%,44.656/39.090,55.897%,0.212/0.244,0.091,RMB 7.598,+1.496,RMB 0.708,RMB 26.958
2018-06-13,0762,10.180,10.340,11.835M,10.300,11.440,315.161B,10.140,121.053M,10.300,10.040,20.009M,10.180,10.618,10.200,10.882,1378,10.601,"87,847",10.477,10.228,10.929,13.176,9.136,"20,360",39.020,0.020/0.020,-4.143%,118.843/27.730,0.637%,0.634/1.418,-6.504,RMB 0.070,+0.878,RMB 0.052,RMB 9.937
2018-06-13,0823,71.050,73.050,8.123M,73.000,74.200,156.954B,71.050,583.237M,73.000,67.000,72.620M,71.050,71.990,71.400,70.408,2063,68.741,"282,713",68.369,71.801,65.930,75.000,56.785,"35,525",65.738,0.050/0.050,3.046%,3.273/26.218,4.049%,3.516/3.872,0.752,HKD 21.710,+0.417,HKD 2.498,HKD 83.065
2018-06-13,0836,16.020,16.200,4.694M,16.200,16.480,77.929B,16.020,75.704M,16.200,15.060,4.422M,16.020,15.838,16.040,15.788,790,15.058,"95,827",14.494,16.128,14.557,16.480,12.820,"32,040",64.114,0.020/0.020,1.779%,16.515/11.203,0.637%,5.462/5.456,2.793,HKD 0.970,+0.455,HKD 0.875,HKD 15.636
2018-06-13,0083,13.660,13.920,4.956M,13.920,14.360,91.915B,13.640,68.185M,13.780,13.040,2.442M,13.660,13.858,13.700,13.685,519,13.362,"131,378",13.485,13.758,12.987,14.480,11.460,"27,320",56.315,0.020/0.020,4.594%,11.479/9.486,0.680%,7.174/3.880,6.756,HKD 1.190,+0.830,HKD 0.530,HKD 20.323
2018-06-13,0857,6.270,6.430,112.921M,6.456,6.666,136.206B,6.230,710.391M,6.390,5.926,147.388M,6.260,6.413,6.270,6.301,4834,5.878,"146,957",5.726,6.291,5.288,6.666,4.565,"12,540",60.476,0.010/0.010,1.038%,42.698/18.234,0.491%,2.571/2.791,2.114,RMB 0.120,+0.853,RMB 0.130,RMB 6.521
2018-06-13,0883,13.380,13.640,42.511M,13.660,14.340,609.884B,13.320,572.961M,13.500,12.200,122.763M,13.360,13.260,13.380,13.349,2707,12.734,"211,659",12.075,13.478,10.481,14.340,7.950,"13,380",59.040,0.020/0.020,6.359%,19.880/11.045,1.687%,3.737/4.591,3.770,RMB 0.550,+0.801,RMB 0.402,RMB 8.511
2018-06-13,0939,7.960,8.040,304.507M,8.060,8.500,"1,937.764B",7.950,2.431B,8.010,7.800,559.205M,7.960,8.059,7.970,8.098,9753,8.089,"249,258",8.230,7.983,7.308,9.390,5.910,"7,960",48.094,0.010/0.010,1.790%,6.776/6.225,0.825%,4.567/4.919,2.170,RMB 0.960,+1.378,RMB 0.291,RMB 7.119
2018-06-13,0941,70.850,71.800,8.714M,71.750,73.500,"1,469.116B",70.750,620.459M,71.550,69.600,60.967M,70.850,71.540,70.900,71.728,2236,71.664,"277,486",72.910,71.203,75.707,83.195,68.068,"35,425",49.977,0.050/0.050,0.998%,10.376/9.682,3.383%,9.040/5.011,0.295,RMB 5.580,+0.521,RMB 5.508,RMB 48.137
