Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-13,101,17.600,17.800,17.820,76.47M,4.33M,79.15B,17.600,17.620,1.8061,9.74,4.26%,18.020,17.560,21.650,17.080
2018-06-13,1038,59.350,59.500,59.700,87.86M,1.47M,157.31B,59.350,59.400,4.0705,14.58,4.01%,60.000,59.350,73.800,58.700
2018-06-13,1044,77.500,79.250,79.000,160.17M,2.05M,93.48B,77.500,77.550,3.1488,19.83,3.28%,79.850,77.150,88.700,52.800
2018-06-13,1088,21.050,21.300,20.950,349.84M,16.54M,71.54B,21.050,21.100,2.403,7.07,5.36%,21.300,20.950,25.750,16.380
2018-06-13,1093,24.950,25.650,25.300,792.39M,31.63M,155.76B,24.950,25.000,0.4548,54.86,0.60%,25.500,24.800,26.750,10.940
2018-06-13,1109,30.050,30.683,30.450,271.46M,8.95M,208.27B,30.050,30.100,3.3209,9.05,3.22%,30.650,30.050,34.450,21.050
2018-06-13,1113,66.200,66.750,66.150,193.15M,2.91M,244.77B,66.100,66.200,8.0716,8.20,2.57%,67.050,65.900,75.300,58.750
2018-06-13,11,199.100,202.000,199.300,156.69M,783.55K,380.64B,199.100,199.300,10.4705,19.02,3.42%,201.600,198.800,204.200,159.000
2018-06-13,1299,71.150,71.800,72.000,1.06B,14.91M,859.22B,71.100,71.150,0.51,17.89,1.41%,72.300,70.800,75.000,54.500
2018-06-13,12,44.700,45.450,45.000,218.41M,4.86M,196.73B,44.700,44.750,6.9148,6.46,3.48%,45.550,44.650,50.909,39.046
2018-06-13,1398,6.440,6.550,6.510,2.18B,337.98M,558.95B,6.430,6.440,0.79,6.51,4.68%,6.540,6.430,7.640,4.830
2018-06-13,144,17.280,17.400,17.400,38.83M,2.24M,56.63B,17.280,17.300,1.839,9.40,12.50%,17.420,17.280,26.030,16.960
2018-06-13,151,7.850,7.860,7.780,122.58M,15.64M,97.72B,7.850,7.860,0.2472,25.93,2.47%,7.920,7.740,8.180,5.000
2018-06-13,16,124.900,127.300,126.100,394.91M,3.14M,361.83B,124.900,125.100,14.43,8.66,3.36%,127.700,124.900,139.600,113.500
2018-06-13,175,23.850,24.400,24.600,836.47M,34.87M,214.10B,23.850,23.900,1.1905,16.18,1.22%,24.600,23.750,29.800,13.940
2018-06-13,17,12.020,12.080,11.860,121.64M,10.07M,122.75B,12.020,12.040,0.8035,14.96,3.91%,12.240,11.860,13.000,9.740
2018-06-13,1928,45.000,45.600,46.000,307.28M,6.81M,363.60B,45.000,45.100,0.1986,29.05,4.42%,46.000,44.800,49.350,33.800
2018-06-13,1997,60.000,60.500,60.200,108.73M,1.81M,182.17B,60.000,60.100,5.6709,10.58,1.58%,60.950,59.900,65.150,46.550
2018-06-13,19,83.150,82.750,83.800,148.22M,1.79M,75.26B,83.100,83.150,17.341,4.79,2.53%,83.800,82.200,83.800,71.850
2018-06-13,1,89.500,91.550,91.500,476.07M,5.29M,345.26B,89.500,89.550,9.0987,9.84,3.18%,91.500,89.350,108.900,87.100
2018-06-13,2007,16.420,16.800,16.620,438.14M,26.45M,356.98B,16.400,16.420,1.228,10.79,2.95%,16.920,16.340,18.226,7.962
2018-06-13,2018,121.600,126.800,125.000,1.08B,8.95M,148.59B,121.500,121.600,4.3467,22.35,1.73%,125.500,120.400,185.000,94.050
2018-06-13,2318,78.550,79.000,78.950,2.39B,30.55M,585.00B,78.500,78.550,4.9946,12.70,2.63%,79.000,78.100,98.543,49.745
2018-06-13,2319,29.300,29.800,29.400,280.24M,9.44M,115.07B,29.300,29.350,0.5258,44.53,0.51%,30.000,29.250,30.200,14.500
2018-06-13,2382,168.600,173.000,173.000,787.23M,4.64M,184.95B,168.600,168.700,2.6676,51.02,0.48%,173.200,168.500,174.900,62.500
2018-06-13,2388,39.850,40.100,40.000,281.52M,7.06M,421.32B,39.800,39.850,2.9387,13.56,3.51%,40.200,39.750,42.150,34.216
2018-06-13,23,32.150,32.600,32.600,54.22M,1.68M,90.26B,32.100,32.150,3.21,10.02,3.98%,32.600,32.100,36.000,30.550
2018-06-13,2628,22.350,22.411,22.500,652.80M,29.22M,166.31B,22.300,22.350,1.1411,15.78,2.19%,22.500,22.150,28.200,21.100
2018-06-13,267,11.720,11.860,11.680,64.85M,5.53M,340.93B,11.700,11.720,1.5092,7.77,3.07%,11.800,11.660,12.800,10.700
2018-06-13,27,65.500,66.150,65.800,431.86M,6.59M,282.85B,65.450,65.500,2.4513,26.72,1.13%,66.350,65.200,73.850,43.378
2018-06-13,288,7.190,7.230,7.170,449.24M,62.45M,105.51B,7.180,7.190,0.0779,11.83,3.76%,7.240,7.160,9.900,7.060
