Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-13,0101,17.600,17.800,17.820,17.600 x 0,17.620 x 0,17.560 - 18.020,17.080 - 21.650,"4,327,298","3,581,373",79.16B,1.28,9.72,1.810,N/A,0.75 (4.21%),2018-04-30,21.70
2018-06-13,1038,59.350,59.500,59.700,59.350 x 0,59.400 x 0,59.350 - 60.000,58.700 - 73.800,"1,474,352","2,521,432",157.318B,0.12,14.58,4.070,"Jul 18, 2018",2.38 (3.75%),2018-05-14,76.68
2018-06-13,1044,77.500,79.250,79.000,77.500 x 0,77.550 x 0,77.150 - 79.850,53.200 - 88.700,"2,049,835","3,141,798",93.485B,0.55,20.53,3.775,"Mar 20, 2017",2.35 (3.07%),2018-05-21,82.94
2018-06-13,1088,21.050,21.300,20.950,21.050 x 0,21.100 x 0,20.950 - 21.300,16.380 - 25.750,"16,539,519","22,755,190",419.51B,1.13,7.31,2.881,N/A,1.13 (5.79%),2018-06-28,20.54
2018-06-13,1093,24.950,25.650,25.300,24.950 x 0,25.000 x 0,24.800 - 25.500,10.940 - 26.750,"31,634,462","34,947,423",155.763B,0.94,54.86,0.455,"May 23, 2018",0.15 (0.68%),2018-05-30,25.58
2018-06-13,1109,30.050,30.683,30.450,30.050 x 0,30.100 x 0,30.050 - 30.650,21.050 - 34.450,"8,946,001","10,817,114",208.212B,1.51,9.05,3.320,"Mar 20, 2018",0.97 (3.11%),2018-06-13,35.12
2018-06-13,1113,66.200,66.750,66.150,66.100 x 0,66.200 x 0,65.900 - 67.050,58.750 - 75.300,"2,913,844","4,632,062",244.774B,1.26,8.20,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-13,0011,199.100,202.000,199.300,199.100 x 0,199.300 x 0,198.800 - 201.600,159.000 - 204.200,"783,548","1,306,508",380.647B,0.56,19.33,10.300,"Jul 30, 2018",6.80 (3.40%),2018-05-17,189.16
2018-06-13,1299,71.150,71.800,72.000,71.100 x 0,71.150 x 0,70.800 - 72.200,54.500 - 75.000,"14,908,277","21,728,599",854.604B,0.97,17.87,3.983,"Jul 26, 2018",1.00 (1.39%),2018-05-23,78.75
2018-06-13,0012,44.700,45.450,45.000,44.700 x 0,44.750 x 0,44.650 - 45.550,39.045 - 50.909,"4,857,071","3,422,865",196.736B,0.80,6.46,6.918,"Aug 20, 2018",1.55 (3.38%),2018-06-05,51.06
2018-06-13,1398,6.440,6.550,6.510,6.430 x 0,6.440 x 0,6.430 - 6.540,4.830 - 7.640,"337,977,765","224,498,390",2.029T,1.30,6.80,0.947,N/A,0.30 (4.47%),2018-07-05,8.64
2018-06-13,0144,17.280,17.400,17.400,17.280 x 0,17.300 x 0,17.280 - 17.420,16.960 - 27.400,"2,238,744","4,537,321",56.637B,1.01,9.40,1.839,N/A,0.81 (4.70%),2018-06-07,24.33
2018-06-13,0151,7.850,7.860,7.780,7.850 x 0,7.860 x 0,7.740 - 7.920,5.000 - 8.180,"15,639,330","16,885,205",97.727B,0.76,20.33,0.386,"Aug 20, 2018",0.07 (1.15%),2017-12-04,7.15
2018-06-13,0016,124.900,127.300,126.100,124.900 x 0,125.100 x 0,124.900 - 127.700,113.500 - 139.600,"3,138,300","3,072,905",361.835B,0.93,11.04,11.310,"Sep 10, 2018",2.40 (1.95%),2018-03-12,152.71
2018-06-13,0175,23.850,24.400,24.600,23.850 x 0,23.900 x 0,23.750 - 24.600,13.940 - 29.800,"34,865,910","46,741,122",214.091B,N/A,16.72,N/A,"Aug 14, 2018",N/A (N/A),N/A,30.83
2018-06-13,0017,12.020,12.080,11.860,12.020 x 0,12.040 x 0,11.860 - 12.240,9.740 - 13.000,"10,066,875","12,232,579",122.755B,1.30,12.65,0.950,N/A,0.28 (2.31%),2018-03-16,13.70
2018-06-13,1928,45.000,45.600,46.000,45.000 x 0,45.100 x 0,44.800 - 46.000,33.800 - 49.350,"6,808,215","11,502,158",363.609B,0.91,29.00,1.552,"May 3, 2018",1.00 (2.23%),2018-05-31,49.43
2018-06-13,1997,60.000,60.500,60.200,60.000 x 0,60.100 x 0,59.900 - 60.950,46.550 - 65.150,"1,805,374","2,483,092",182.174B,N/A,10.58,5.670,N/A,1.90 (3.06%),2018-04-06,62.08
2018-06-13,0019,83.150,82.750,83.800,83.100 x 0,83.150 x 0,82.200 - 83.800,71.850 - 83.800,"1,786,118","1,355,355",116.862B,0.65,4.80,17.340,N/A,4.30 (5.70%),2018-04-11,92.34
2018-06-13,0001,89.500,91.550,91.500,89.500 x 0,89.550 x 0,89.350 - 91.500,87.100 - 108.900,"5,289,102","4,912,185",345.262B,0.85,9.84,9.100,"Aug 1, 2018",2.85 (3.16%),2018-05-15,124.62
2018-06-13,2007,16.420,16.800,16.620,16.400 x 0,16.420 x 0,16.340 - 16.920,8.370 - 19.160,"26,452,965","48,800,851",355.217B,1.18,11.15,1.472,"Aug 20, 2018",0.61 (3.56%),2018-05-21,18.27
2018-06-13,2018,121.600,126.800,125.000,121.500 x 0,121.600 x 0,120.400 - 125.500,94.050 - 185.000,"8,945,350","6,930,300",148.595B,-0.08,23.32,5.215,"Aug 23, 2018",2.10 (1.86%),2018-06-07,152.69
