Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-13,0101,17.60,17.82,18.02,17.56,79.25B,9.75,4.26%,17.80,21.65,17.08
2018-06-13,1038,59.35,59.70,60.00,59.35,156.66B,14.58,4.01%,59.50,73.80,58.70
2018-06-13,1044,77.50,79.00,79.85,77.15,92.70B,20.33,3.28%,79.25,88.70,52.80
2018-06-13,1088,21.05,20.95,21.30,20.95,-,7.26,5.37%,21.30,25.75,16.38
2018-06-13,1093,24.95,25.30,25.50,24.80,155.76B,49.93,0.60%,25.65,26.75,10.94
2018-06-13,1109,30.05,30.45,30.65,30.05,207.94B,9.05,3.22%,30.68,34.45,21.05
2018-06-13,1113,66.20,66.15,67.05,65.90,245.50B,8.20,2.57%,66.75,75.30,58.75
2018-06-13,0011,199.10,199.30,201.60,198.80,375.77B,19.33,3.42%,202.00,204.20,159.00
2018-06-13,1299,71.15,72.00,72.30,70.80,853.88B,17.84,1.41%,71.80,75.00,54.50
2018-06-13,0012,44.70,45.00,45.55,44.65,179.83B,6.46,3.48%,45.45,50.91,39.05
2018-06-13,1398,6.44,6.51,6.54,6.43,-,6.57,4.67%,6.55,7.64,4.83
2018-06-13,0144,17.28,17.40,17.42,17.28,55.86B,9.36,4.69%,17.40,27.40,16.96
2018-06-13,0151,7.85,7.78,7.92,7.74,96.98B,-,1.54%,7.86,8.18,5.00
2018-06-13,0016,124.90,126.10,127.70,124.90,360.70B,6.68,3.36%,127.30,139.60,113.50
2018-06-13,0175,23.85,24.60,24.60,23.75,207.92B,16.77,1.22%,24.40,29.80,13.94
2018-06-13,0017,12.02,11.86,12.24,11.86,122.55B,8.08,3.91%,12.08,13.00,9.74
2018-06-13,1928,45.00,46.00,46.00,44.80,358.01B,28.89,4.42%,45.60,49.35,33.80
2018-06-13,1997,60.00,60.20,60.95,59.90,182.77B,10.58,1.58%,60.50,65.15,46.55
2018-06-13,0019,83.15,83.80,83.80,82.20,118.10B,4.85,2.53%,82.75,83.80,71.85
2018-06-13,0001,89.50,91.50,91.50,89.35,342.79B,9.84,3.18%,91.55,108.90,87.10
2018-06-13,2007,16.42,16.62,16.92,16.34,368.97B,10.89,2.95%,16.80,19.16,8.37
2018-06-13,2018,121.60,125.00,125.50,120.40,147.67B,22.52,1.73%,126.80,185.00,94.05
2018-06-13,2318,78.55,78.95,79.00,78.10,-,12.48,2.31%,79.00,98.85,49.90
2018-06-13,2319,29.30,29.40,30.00,29.25,114.87B,45.49,0.51%,29.80,30.00,14.50
2018-06-13,2382,168.60,173.00,173.20,168.50,183.43B,51.86,0.48%,173.00,173.20,62.50
2018-06-13,2388,39.85,40.00,40.20,39.75,419.75B,14.79,3.27%,40.10,42.15,34.30
2018-06-13,0023,32.15,32.60,32.60,32.10,89.99B,19.09,3.98%,32.60,36.00,30.55
2018-06-13,2628,22.35,22.50,22.50,22.15,-,15.99,2.19%,22.41,28.20,21.10
2018-06-13,0267,11.72,11.68,11.80,11.66,339.22B,7.77,3.07%,11.86,12.80,10.70
2018-06-13,0027,65.50,65.80,66.35,65.20,278.11B,26.88,-,66.15,73.85,43.90
2018-06-13,0288,7.19,7.17,7.24,7.16,111.76B,12.01,3.76%,7.23,9.90,7.16
2018-06-13,0002,81.55,82.40,82.40,81.55,206.28B,14.46,3.59%,81.75,84.95,75.05
2018-06-13,3328,6.34,6.36,6.39,6.33,-,5.69,5.62%,6.41,7.13,5.47
2018-06-13,0386,7.44,7.46,7.57,7.42,-,-,4.01%,7.53,8.35,5.40
2018-06-13,0388,257.60,260.80,260.80,257.40,317.91B,38.55,2.10%,260.60,306.00,197.60
2018-06-13,3988,4.13,4.17,4.18,4.12,-,7.32,4.26%,4.19,4.96,3.57
2018-06-13,0003,15.00,15.18,15.20,14.98,211.73B,28.06,2.12%,15.20,15.80,13.09
2018-06-13,0005,76.65,76.30,77.00,76.30,-,18.19,5.19%,76.75,86.00,67.55
2018-06-13,0066,44.05,44.55,44.60,43.90,265.91B,15.62,2.54%,44.55,46.80,40.55
2018-06-13,0688,28.85,28.95,29.15,28.60,317.19B,7.75,2.77%,28.70,32.20,22.50
2018-06-13,0006,55.95,56.20,56.25,55.70,119.30B,14.35,5.00%,55.80,78.80,54.00
2018-06-13,0700,415.20,420.00,420.00,415.00,3.91T,40.28,0.21%,417.40,476.60,260.40
2018-06-13,0762,10.18,10.30,10.34,10.14,313.92B,48.48,0.63%,10.30,13.24,9.20
2018-06-13,0823,71.05,73.00,73.05,71.05,152.35B,3.27,3.52%,73.00,75.00,58.00
2018-06-13,0836,16.02,16.20,16.20,16.02,76.19B,16.55,5.46%,16.20,16.30,12.82
2018-06-13,0083,13.66,13.78,13.92,13.64,91.49B,6.02,3.88%,13.92,15.06,12.44
2018-06-13,0857,6.27,6.39,6.43,6.23,-,40.23,2.07%,6.46,6.74,4.72
2018-06-13,0883,13.38,13.50,13.64,13.32,586.72B,19.76,3.74%,13.66,14.64,8.45
2018-06-13,0939,7.96,8.01,8.04,7.95,-,6.61,4.57%,8.06,9.39,5.91
2018-06-13,0941,70.85,71.55,71.80,70.75,1.45T,10.36,4.52%,71.75,89.60,69.60
