Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-12,0101,17.800,17.960,17.840,17.780 x 0,17.800 x 0,17.780 - 18.020,17.080 - 21.650,"5,058,529","3,598,473",80.059B,1.33,9.83,1.810,N/A,0.75 (4.07%),2018-04-30,21.70
2018-06-12,1038,59.500,59.650,59.800,59.500 x 0,59.550 x 0,59.500 - 59.900,58.700 - 73.800,"1,209,477","2,576,244",157.715B,0.12,14.62,4.070,"Jul 18, 2018",2.38 (3.80%),2018-05-14,76.68
2018-06-12,1044,79.250,77.400,76.450,79.250 x 0,79.350 x 0,76.450 - 79.750,52.800 - 88.700,"3,374,877","3,172,355",95.596B,0.55,20.99,3.775,"Mar 20, 2017",2.35 (3.07%),2018-05-21,82.94
2018-06-12,1088,21.300,21.000,20.900,21.300 x 0,21.350 x 0,20.900 - 21.700,16.380 - 25.750,"27,732,028","22,983,725",424.492B,1.13,7.39,2.881,N/A,1.13 (5.79%),2018-06-28,20.54
2018-06-12,1093,25.650,24.400,24.500,25.600 x 0,25.650 x 0,24.500 - 25.750,10.940 - 26.750,"28,701,471","35,633,513",160.133B,0.94,56.40,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-12,1109,31.550,31.150,30.550,31.550 x 0,31.600 x 0,30.550 - 31.800,21.050 - 34.450,"9,607,147","10,970,749",218.605B,1.51,9.50,3.320,"Mar 20, 2018",0.97 (3.11%),2018-06-13,35.12
2018-06-12,1113,66.750,66.100,66.450,66.700 x 0,66.750 x 0,65.700 - 66.900,58.750 - 75.300,"3,378,736","4,716,739",246.808B,1.26,8.27,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-12,0011,202.000,202.800,202.000,201.800 x 0,202.000 x 0,200.200 - 202.600,159.000 - 204.200,"928,325","1,333,041",386.192B,0.56,19.61,10.300,"Jul 30, 2018",6.80 (3.40%),2018-05-17,189.16
2018-06-12,1299,71.800,72.400,72.650,71.800 x 0,71.850 x 0,71.800 - 73.000,54.500 - 75.000,"14,150,872","22,258,335",862.411B,0.97,18.03,3.983,"Jul 26, 2018",1.00 (1.39%),2018-05-23,78.77
2018-06-12,0012,45.450,45.700,45.950,45.400 x 0,45.450 x 0,45.150 - 46.000,39.045 - 50.909,"3,917,072","3,390,975",200.037B,0.80,6.57,6.918,"Aug 20, 2018",1.55 (3.38%),2018-06-05,51.06
