Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-12,0101,17.800,18.020,5.059M,17.960,19.200,80.779B,17.780,90.160M,17.840,17.080,5.715M,17.780,18.020,17.800,18.308,560,18.114,"161,000",18.473,17.822,18.376,21.070,16.700,"17,800",44.300,0.020/0.020,-0.891%,9.834/17.282,0.767%,4.213/4.214,-1.161,HKD 1.810,+0.622,HKD 0.750,HKD 30.274
2018-06-12,1038,59.500,59.900,1.209M,59.650,61.800,158.113B,59.500,72.077M,59.800,58.700,19.665M,59.500,59.400,59.550,59.755,416,60.461,"173,262",62.512,59.617,64.747,71.420,58.700,"29,750",46.386,0.050/0.050,-0.168%,14.619/12.741,2.870%,4.000/4.378,-0.058,HKD 4.070,+0.357,HKD 2.380,HKD 39.036
2018-06-12,1044,79.250,N/A,3.375M,77.400,79.150,93.365B,76.450,266.340M,76.450,67.777,77.942M,79.250,76.090,79.350,73.757,1930,72.608,"138,000",73.643,78.916,70.169,87.277,53.811,"39,625",63.158,0.050/0.050,8.044%,20.548/18.809,8.178%,3.282/3.354,0.984,RMB 3.149,+0.530,RMB 2.100,RMB 13.356
2018-06-12,1088,21.300,21.700,27.732M,21.000,22.150,71.370B,20.900,594.174M,20.900,19.600,46.635M,21.300,20.857,21.350,20.732,3679,20.038,"161,504",21.203,21.426,19.834,25.750,15.818,"10,650",53.526,0.050/0.050,5.707%,7.237/7.678,1.774%,5.300/4.991,3.217,RMB 2.403,+1.267,RMB 0.910,RMB 15.362
2018-06-12,1093,25.650,25.750,28.701M,24.400,26.600,152.330B,24.500,726.063M,24.500,21.050,56.951M,25.600,24.915,25.650,24.213,3117,22.157,"232,937",20.084,25.297,16.034,26.600,10.790,"51,300",56.263,0.050/0.050,4.268%,56.398/45.000,3.975%,0.585/0.546,1.074,HKD 0.455,+0.895,HKD 0.150,HKD 2.454
2018-06-12,1109,31.550,31.800,9.607M,31.150,32.100,215.899B,30.550,301.648M,30.550,27.700,50.463M,31.550,30.220,31.600,30.005,1445,29.332,"208,753",29.186,31.399,25.714,34.450,21.050,"63,100",59.637,0.050/0.050,10.122%,9.503/9.105,3.120%,3.065/3.819,3.244,HKD 3.320,+1.215,HKD 0.967,HKD 20.645
2018-06-12,1113,66.750,66.900,3.379M,66.100,68.850,244.405B,65.700,224.989M,66.450,64.500,23.188M,66.700,66.240,66.750,66.721,1250,65.967,"179,991",67.341,66.584,65.269,74.020,57.050,"33,375",47.372,0.050/0.050,1.521%,8.271/10.042,3.232%,2.547/2.846,0.471,HKD 8.070,+0.614,HKD 1.700,HKD 78.851
2018-06-12,0011,202.000,202.600,"928,325",202.800,203.600,387.722B,200.200,187.097M,202.000,192.500,61.410M,201.800,197.310,202.000,197.405,1667,193.300,"112,236",188.666,201.543,179.952,203.600,152.200,"20,200",62.988,0.200/0.200,3.643%,19.612/17.876,12.253%,3.366/3.564,0.297,HKD 10.300,+0.547,HKD 6.700,HKD 79.520
2018-06-12,1299,71.800,73.000,14.151M,72.400,74.256,874.318B,71.800,1.022B,72.650,69.850,123.593M,71.800,71.980,71.850,71.884,4463,69.557,"228,990",67.027,72.221,62.696,74.256,53.500,"14,360",54.647,0.050/0.050,0.772%,17.943/20.335,4.850%,1.393/1.639,0.159,USD 0.510,+1.097,USD 0.128,USD 3.478
2018-06-12,0012,45.450,46.000,3.917M,45.700,48.000,201.138B,45.150,177.571M,45.950,44.700,7.863M,45.400,46.116,45.450,45.828,455,45.179,"390,266",45.573,45.333,44.382,49.791,37.491,"45,450",50.672,0.050/0.050,-0.941%,6.570/12.507,2.810%,3.420/3.470,-0.335,HKD 6.918,+0.656,HKD 1.555,HKD 66.600
2018-06-12,1398,6.550,6.590,169.843M,6.560,7.000,569.369B,6.520,1.114B,6.530,6.370,120.253M,6.550,6.567,6.560,6.659,5520,6.724,"201,898",6.837,6.559,6.216,7.640,4.830,"6,550",43.984,0.010/0.010,0.153%,6.769/6.292,0.647%,4.592/4.862,0.236,RMB 0.790,+1.367,RMB 0.241,RMB 5.969
2018-06-12,0144,17.400,17.680,3.051M,17.460,18.570,57.227B,17.320,53.190M,17.600,16.950,3.697M,17.360,17.389,17.400,17.536,704,17.097,"75,555",17.812,17.434,20.034,25.240,16.370,"34,800",51.842,0.020/0.020,0.058%,9.462/11.048,2.398%,12.414/4.023,0.024,HKD 1.839,+0.781,HKD 2.160,HKD 22.409
2018-06-12,0151,7.860,7.960,14.115M,7.850,8.180,97.727B,7.750,111.331M,7.750,6.900,12.531M,7.860,7.740,7.870,7.471,2204,6.994,"50,513",6.767,7.887,6.115,8.180,4.926,"7,860",60.780,0.010/0.010,3.968%,25.960/23.945,0.738%,2.485/1.948,5.377,RMB 0.309,+0.562,RMB 0.199,RMB 1.163
2018-06-12,0016,127.300,127.800,1.860M,127.300,131.800,368.788B,126.300,236.441M,126.600,123.100,32.570M,127.300,126.760,127.400,126.935,624,125.746,"378,912",127.406,127.119,124.216,138.400,109.300,"127,300",53.509,0.100/0.100,1.192%,8.822/12.089,5.864%,3.299/3.456,0.203,HKD 14.430,+0.664,HKD 4.100,HKD 172.025
2018-06-12,0175,24.400,N/A,37.353M,24.300,24.500,218.148B,24.050,910.999M,24.400,21.610,34.731M,24.350,22.878,24.450,22.792,3699,22.351,"246,283",23.408,24.389,22.457,29.510,13.990,"24,400",64.767,0.050/0.050,8.638%,16.741/13.106,3.552%,1.189/1.526,2.432,RMB 1.190,+1.763,RMB 0.234,RMB 3.842
2018-06-12,0017,12.080,12.140,9.257M,12.120,12.480,123.777B,12.000,111.615M,12.080,11.640,9.839M,12.060,12.134,12.080,12.067,704,11.603,"158,544",11.725,12.057,11.074,12.860,9.270,"12,080",56.277,0.020/0.020,0.835%,15.100/16.215,0.835%,3.891/3.883,1.000,HKD 0.800,+0.857,HKD 0.460,HKD 18.959
2018-06-12,1928,45.600,45.900,6.076M,45.450,47.600,367.245B,45.300,277.550M,45.800,44.000,91.339M,45.600,45.535,45.650,45.870,2146,44.217,"129,334",43.747,45.680,38.702,47.600,31.810,"18,240",51.096,0.050/0.050,-2.875%,29.263/23.721,4.507%,4.364/4.457,-0.638,USD 0.199,+0.881,USD 0.254,USD 0.562
2018-06-12,1997,60.500,61.200,1.698M,60.200,65.150,182.781B,59.500,102.444M,59.950,57.150,2.537M,60.500,61.470,60.600,60.870,708,57.449,"144,695",54.635,60.332,N/A,65.150,45.600,"60,500",51.190,0.050/0.050,-3.355%,10.670/20.302,4.122%,/3.223,-0.814,HKD 5.670,N/A,HKD 0.950,HKD 68.281
2018-06-12,0019,82.750,N/A,1.213M,82.450,83.650,74.634B,82.400,100.548M,83.800,77.650,23.948M,82.750,81.400,82.800,80.353,809,78.774,"124,287",77.836,82.892,76.307,83.650,70.750,"41,375",62.920,0.050/0.050,3.632%,4.772/--,2.435%,2.538/--,1.492,HKD 17.340,+0.433,HKD 2.100,HKD 168.470
2018-06-12,0001,91.550,N/A,7.023M,90.700,91.600,349.891B,90.700,641.880M,91.000,87.100,62.855M,91.550,89.480,91.600,89.449,2633,90.027,"243,783",93.872,91.397,95.945,106.050,87.100,"45,775",55.304,0.050/0.050,3.563%,10.060/9.252,3.683%,3.113/3.232,0.968,HKD 9.100,+0.520,HKD 2.850,HKD 111.481
2018-06-12,2007,16.800,16.920,28.040M,16.680,16.920,362.639B,16.520,470.693M,16.660,14.080,137.324M,16.780,15.606,16.800,15.458,3990,15.133,"117,968",14.703,16.786,12.146,18.013,7.045,"16,800",69.167,0.020/0.020,14.598%,11.170/9.868,2.777%,2.899/3.521,5.257,RMB 1.228,+1.809,RMB 0.400,RMB 4.402
2018-06-12,2018,126.800,129.100,3.345M,127.900,134.600,156.294B,126.300,425.287M,127.500,106.300,68.077M,126.700,121.790,126.800,117.320,1631,122.918,"260,752",134.038,127.141,131.144,183.300,91.950,"63,400",59.572,0.100/0.100,7.458%,23.799/17.461,20.230%,1.656/2.009,0.369,RMB 4.350,+1.492,RMB 1.681,RMB 14.362
2018-06-12,2318,79.000,79.750,27.954M,78.750,80.450,586.497B,78.250,2.210B,79.000,73.923,557.291M,78.950,77.206,79.000,77.064,4477,77.905,"493,590",81.873,79.058,71.018,97.373,47.705,"39,500",56.794,0.050/0.050,4.053%,12.926/12.978,12.409%,2.669/2.316,0.327,RMB 4.990,+1.489,RMB 1.500,RMB 25.894
2018-06-12,2319,29.800,N/A,16.758M,28.750,29.750,112.912B,28.700,498.794M,28.800,26.050,53.968M,29.800,28.295,29.850,27.635,2446,27.185,"203,922",26.122,29.765,21.776,29.750,14.352,"29,800",59.691,0.050/0.050,10.575%,46.256/29.456,4.280%,0.503/0.785,2.471,RMB 0.526,+0.774,RMB 0.120,RMB 5.756
