Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-15,101,17.02,17.30,17.30,"17,012,051",76.551B,17.00-17.46,17.00-21.65,9.43,16.5243,13.3679,4.5B,0.5623,6.8360,-11.47%,"4,113,380",1.80,1.0610,4.41%,0.58
2018-06-15,1038,58.50,59.00,59.10,"3,276,899",155.065B,58.50-59.25,58.50-73.80,14.35,12.8121,2.0353,2.65B,1.4245,24.5009,-7.76%,"2,327,454",4.08,4.5660,4.07%,1.71
2018-06-15,1044,77.55,77.35,78.00,"3,356,897",93.546B,77.05-78.40,53.70-88.70,20.14,19.2641,1.5101,1.21B,4.7525,3.8579,47.33%,"3,233,763",3.15,3.2950,3.28%,1.15
2018-06-15,1088,21.20,20.90,21.15,"26,571,193",499.358B,20.90-21.45,16.33-25.75,7.32,7.1695,N/A,3.4B,1.0866,1.3762,31.24%,"26,707,780",2.37,2.3340,5.25%,0.91
2018-06-15,1093,24.05,24.60,24.60,"49,903,969",150.145B,24.05-25.20,10.94-26.75,52.89,37.7551,1.4145,6.24B,9.7990,9.4782,114.14%,"46,569,820",0.45,0.5950,0.62%,0.15
2018-06-15,1109,29.00,28.50,28.95,"14,438,698",200.997B,28.50-29.45,21.05-34.45,8.73,7.5718,0.4326,6.93B,1.4047,1.6949,38.39%,"10,257,870",3.32,3.5190,3.33%,0.867
2018-06-15,1113,65.65,65.00,65.65,"9,869,243",242.741B,65.00-65.85,58.75-75.30,8.13,9.2465,1.3970,3.7B,0.8326,4.2576,10.61%,"4,001,672",8.07,6.2700,2.59%,1.28
2018-06-15,11,198.30,198.00,197.90,"1,539,895",379.118B,196.20-198.60,159.00-204.20,19.31,16.7201,1.8927,1.91B,2.6137,6.6310,26.62%,"1,334,528",10.27,11.3760,3.43%,1.3
2018-06-15,1299,69.60,70.40,70.15,"24,994,458",840.504B,69.60-70.75,54.50-75.00,17.39,18.8660,3.8810,12.08B,2.5494,2.7761,27.16%,"20,658,770",0.51,0.4750,1.44%,0.7438
2018-06-15,12,44.20,44.05,44.05,"3,828,751",194.536B,44.00-44.55,39.05-50.91,6.39,N/A,N/A,4.4B,0.6636,7.9552,11.22%,"3,979,991",6.92,2.8470,3.52%,1.11818182
2018-06-15,1398,6.33,6.34,6.38,"309,707,675",2.427T,6.33-6.40,4.83-7.64,6.40,5.7250,1.0340,86.79B,0.8855,1.7494,30.01%,"247,977,600",0.81,0.8570,4.65%,0.2408
2018-06-15,144,17.22,17.20,17.18,"8,395,177",56.441B,17.08-17.26,16.96-26.02,9.32,9.8966,8.7194,3.28B,0.7685,6.4998,-11.61%,"5,088,587",1.85,1.7400,4.70%,0.59
2018-06-15,151,7.62,7.70,7.73,"20,491,131",94.864B,7.55-7.74,5.00-8.18,24.99,N/A,N/A,12.45B,5.3592,3.8436,44.30%,"16,544,370",0.25,0.2590,0.93%,0.0125
2018-06-15,16,123.30,123.50,123.20,"3,604,839",357.200B,123.10-124.50,113.50-139.60,6.60,N/A,2.5070,2.9B,0.6784,4.1033,7.33%,"3,495,082",18.69,10.3870,3.41%,1.2
2018-06-15,175,23.20,23.45,23.45,"45,722,913",208.273B,22.95-23.60,13.94-29.80,15.95,14.2748,0.4963,8.98B,4.9413,1.8290,62.19%,"45,096,820",1.19,1.5310,1.25%,0.29
2018-06-15,17,11.70,11.94,11.86,"15,904,073",119.488B,11.70-11.94,9.74-13.00,7.83,N/A,N/A,10.21B,0.5756,1.9733,17.80%,"14,661,890",1.49,0.7720,4.02%,0.14
2018-06-15,1928,44.85,45.90,45.25,"6,571,575",362.396B,44.55-45.90,33.80-49.35,28.79,N/A,1.3293,8.08B,10.1667,5.9789,26.85%,"11,200,710",0.20,0.2650,4.44%,1
2018-06-15,1997,60.80,59.25,59.45,"8,573,995",184.603B,59.10-60.80,46.55-65.15,N/A,20.8935,N/A,3.04B,0.8904,N/A,N/A,"2,667,920",N/A,3.0290,1.56%,0.95
2018-06-15,19,83.25,83.00,83.00,"3,812,007",117.522B,82.90-83.70,71.85-83.80,4.80,17.8802,0.6520,905.21M,0.4944,1.5588,11.36%,"1,396,449",17.34,4.6560,2.52%,1.1
2018-06-15,1,88.50,88.35,88.30,"7,524,675",341.405B,87.80-88.50,87.10-108.90,9.72,8.7175,1.3815,3.86B,0.7939,1.3738,-7.61%,"5,381,332",9.10,10.1520,3.22%,2.07
2018-06-15,2007,16.20,16.04,16.14,"43,182,473",352.203B,16.04-16.56,7.96-18.23,10.74,8.9574,0.3678,21.74B,3.0117,1.2355,97.48%,"44,403,800",1.23,1.5740,2.99%,0.2495
2018-06-15,2018,120.30,118.30,119.40,"4,382,973",147.007B,118.00-122.00,94.05-185.00,22.64,18.2483,0.7516,1.22B,6.8560,5.7092,26.05%,"8,179,132",4.35,5.2240,1.75%,1.7
2018-06-15,2318,79.25,79.30,79.05,"35,473,117",1.446T,78.90-79.90,49.75-98.55,12.54,12.0120,1.0643,7.45B,2.3627,1.1401,64.39%,"42,211,750",5.17,5.4910,2.31%,0.2
