Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-15,2319,27.50,27.70,27.90,"18,536,508",108.002B,27.30-28.25,14.42-30.20,42.76,30.0114,1.4628,3.93B,3.9108,1.4574,81.67%,"14,031,810",0.53,0.8060,N/A,0.12
2018-06-15,2382,164.00,165.90,165.70,"5,584,537",179.908B,163.90-168.50,63.90-174.90,50.37,N/A,0.8556,1.1B,19.6640,6.5326,155.96%,"6,048,405",2.66,3.7180,0.49%,0.661
2018-06-15,2388,39.45,39.55,39.80,"10,263,837",417.096B,39.35-39.75,34.22-42.15,14.64,N/A,1.6107,10.57B,1.7183,4.9289,17.86%,"7,515,165",2.69,3.1260,3.30%,0.758
2018-06-15,23,32.30,32.00,32.00,"3,206,904",90.687B,31.65-32.30,30.55-36.00,19.16,15.5288,6.1193,2.81B,0.9981,3.1621,0.36%,"1,481,918",1.69,2.0380,3.96%,0.6
2018-06-15,2628,21.95,22.00,22.25,"38,528,191",791.500B,21.85-22.15,21.10-28.20,15.78,12.0579,0.5906,7.44B,1.5823,0.7893,-6.54%,"34,158,600",1.14,1.5150,2.23%,0.4
2018-06-15,267,11.60,11.62,11.62,"17,016,869",337.447B,11.46-11.68,10.70-12.80,7.68,7.0175,N/A,29.09B,0.6214,0.5539,-2.91%,"8,276,733",1.51,1.6530,3.10%,0.25
2018-06-15,27,64.35,64.50,64.85,"9,240,008",277.893B,64.10-65.30,43.38-73.85,26.26,N/A,2.3867,4.32B,4.9968,4.4164,37.42%,"11,434,670",2.45,3.0380,N/A,0.41
2018-06-15,288,7.04,6.87,6.96,"85,113,609",103.315B,6.87-7.09,6.87-9.90,11.49,9.9655,0.8408,14.68B,1.7666,0.5824,-2.32%,"40,281,020",0.08,0.0850,3.84%,0.22
2018-06-15,2,81.50,81.00,81.25,"4,320,563",205.906B,80.75-81.75,75.05-84.95,14.45,14.6267,N/A,2.53B,1.8943,2.2363,1.65%,"2,126,679",5.64,5.5720,3.60%,0.61
2018-06-15,3328,6.30,6.36,6.34,"38,209,727",508.955B,6.27-6.36,5.47-7.13,5.38,4.9822,0.9693,35.01B,0.6346,0.9716,15.39%,"29,824,150",0.96,0.9500,5.55%,0.2856
2018-06-15,386,7.20,7.21,7.28,"148,982,951",942.017B,7.17-7.32,5.40-8.35,13.40,10.1082,1.1622,25.51B,0.9581,0.3054,27.57%,"148,554,000",0.44,0.6130,8.49%,0.4
2018-06-15,388,255.40,255.00,255.60,"4,495,212",318.422B,254.60-256.40,197.60-306.00,38.12,34.3973,7.9023,1.25B,7.9224,24.7268,32.05%,"4,797,317",6.70,7.7320,2.11%,2.85
2018-06-15,3988,4.10,4.12,4.11,"346,623,419",1.309T,4.09-4.13,3.57-4.96,5.89,5.1627,0.9462,83.62B,0.7034,1.2558,14.16%,"278,147,200",0.57,0.6050,5.25%,0.176
2018-06-15,3,14.90,14.82,14.86,"33,683,386",229.258B,14.80-14.98,13.09-15.80,27.86,28.4351,N/A,15.39B,3.7932,7.0593,15.65%,"18,287,200",0.53,0.5240,2.14%,0.20909091
2018-06-15,5,76.35,76.50,76.40,"16,363,655",1.529T,76.30-76.85,67.55-86.00,19.67,N/A,0.7739,20.02B,0.9956,3.7392,18.45%,"16,176,410",0.49,0.7190,5.23%,0.1
2018-06-15,66,43.30,43.85,43.60,"5,017,673",260.210B,43.30-43.85,40.55-46.80,15.30,23.6354,4.8733,6.01B,1.5642,4.6432,1.67%,"4,307,796",2.83,1.8320,2.59%,0.87
2018-06-15,688,28.65,28.20,28.50,"19,611,237",313.895B,28.20-28.95,22.50-32.20,7.69,7.8065,0.5512,10.96B,1.1814,1.9143,29.38%,"13,757,720",3.72,3.7090,2.79%,0.45
2018-06-15,6,55.40,55.30,55.30,"5,992,013",118.238B,55.05-55.55,54.00-67.61,14.20,15.0995,10.7853,2.13B,1.2371,83.2663,0.77%,"4,750,432",3.90,3.6690,5.05%,2.03
2018-06-15,700,410.00,416.00,412.00,"23,180,404",3.897T,408.40-417.00,260.40-476.60,39.33,35.4936,1.5166,9.5B,11.4913,12.0775,50.50%,"24,736,630",8.53,8.8900,0.21%,0.88
2018-06-15,762,10.08,9.98,10.10,"29,896,194",308.429B,9.95-10.20,9.20-13.24,107.53,N/A,0.3997,30.6B,0.8303,0.7370,-9.48%,"25,697,370",0.08,0.2910,0.64%,0.052
2018-06-15,823,71.55,71.25,71.40,"10,160,985",153.837B,71.00-71.55,58.00-75.00,3.29,N/A,0.7528,2.15B,0.8614,15.7002,17.90%,"5,004,590",21.78,2.6620,3.49%,1.2828
2018-06-15,836,14.72,15.40,15.19,"13,951,350",70.810B,14.68-15.50,12.82-16.48,15.18,10.1587,0.6292,4.81B,0.9409,0.9592,8.29%,"8,289,115",0.97,1.4490,5.94%,0.75
2018-06-15,83,13.44,13.48,13.36,"8,671,310",88.745B,13.38-13.56,12.06-14.60,5.91,N/A,159.4968,6.6B,0.6157,7.3916,8.70%,"5,165,375",2.27,0.8870,3.94%,0.45
2018-06-15,857,6.04,6.09,6.12,"137,917,742",1.662T,6.04-6.21,4.65-6.70,31.31,11.4175,0.4218,21.1B,0.7535,0.4382,25.28%,"172,021,400",0.16,0.3220,1.13%,0.02489
2018-06-15,883,12.94,12.88,13.08,"88,773,445",577.738B,12.84-13.04,8.45-14.64,19.28,N/A,0.5030,44.65B,1.2442,2.5365,56.78%,"80,194,300",0.55,1.1930,3.86%,0.3
2018-06-15,939,7.79,7.85,7.87,"590,344,274",1.958T,7.79-7.88,5.91-9.39,6.45,5.7702,0.9967,240.42B,0.9069,1.4678,29.25%,"301,047,500",0.99,1.0500,4.57%,0.291
2018-06-15,941,70.25,70.20,70.45,"26,911,416",1.438T,69.60-70.30,69.60-86.29,10.30,N/A,2.9099,20.48B,1.1942,1.5896,-9.15%,"14,683,540",5.58,5.6410,4.56%,1.582
