Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Break 1M Lo,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-15,0027,64.350,65.300,9.240M,64.850,71.050,280.052B,N/A,596.054M,64.500,63.700,76.049M,64.300,65.605,64.350,67.103,1490,68.639,"400,036",68.066,64.508,58.530,73.850,43.160,"64,350",40.212,0.050/0.050,-3.740%,26.255/22.422,8.920%,1.150/1.338,-0.419,HKD 2.451,+1.033,HKD 0.740,HKD 12.878
2018-06-15,0288,7.040,7.090,85.114M,6.960,8.810,102.141B,N/A,597.734M,6.870,6.940,15.253M,7.020,7.642,7.040,7.917,6007,7.964,"99,506",8.479,7.023,8.073,9.680,6.940,"3,520",30.237,0.010/0.010,-9.512%,11.515/10.807,0.623%,3.835/4.125,-15.267,USD 0.078,+0.708,USD 0.034,USD 0.508
2018-06-15,0002,81.500,81.750,4.321M,81.250,83.150,205.274B,N/A,351.685M,81.000,80.090,74.718M,81.350,81.884,81.500,81.647,1386,80.889,"253,741",78.985,81.390,78.669,83.150,73.300,"40,750",48.643,0.050/0.050,0.754%,14.450/14.954,1.812%,3.595/3.655,0.416,HKD 5.640,+0.248,HKD 2.910,HKD 43.024
2018-06-15,3328,6.300,6.360,38.210M,6.340,6.470,221.975B,N/A,240.640M,6.360,6.120,39.860M,6.290,6.342,6.300,6.312,1541,6.290,"156,158",6.345,6.298,6.016,7.130,5.439,"6,300",51.691,0.010/0.010,0.800%,5.643/5.521,0.313%,5.663/5.648,2.556,RMB 0.910,+0.896,RMB 0.286,RMB 9.037
2018-06-15,0386,7.200,7.320,148.983M,7.280,7.859,185.738B,N/A,1.075B,7.210,7.030,117.068M,7.200,7.538,7.210,7.488,3443,7.251,"312,222",6.634,7.216,5.837,7.859,4.909,"14,400",45.941,0.010/0.010,-6.372%,13.873/11.286,0.801%,8.613/6.305,-7.955,RMB 0.423,+1.026,RMB 0.500,RMB 5.997
2018-06-15,0388,255.400,256.400,4.495M,255.600,266.800,318.672B,N/A,1.148B,255.000,250.400,74.593M,255.400,258.660,255.600,258.560,2506,257.255,"458,183",267.857,255.395,238.287,303.150,192.400,"25,540",44.754,0.200/0.200,0.630%,42.355/33.320,29.109%,2.114/2.679,0.022,HKD 6.030,+1.387,HKD 5.400,HKD 30.063
2018-06-15,3988,4.100,4.130,346.623M,4.110,4.300,343.688B,N/A,1.423B,4.120,4.050,149.739M,4.100,4.177,4.110,4.166,4023,4.183,"353,709",4.284,4.105,4.038,4.960,3.568,"4,100",43.167,0.010/0.010,-0.726%,5.967/5.478,0.250%,5.363/5.686,-2.906,RMB 0.560,+1.092,RMB 0.176,RMB 5.082
2018-06-15,0003,14.900,14.980,33.683M,14.860,15.591,228.642B,N/A,501.288M,14.820,14.800,111.283M,14.900,15.309,14.920,15.290,2259,14.931,"221,907",14.416,14.883,13.739,15.591,12.773,"14,900",37.537,0.020/0.020,-2.382%,27.874/27.799,0.716%,2.136/2.175,-3.327,HKD 0.535,+0.255,HKD 0.318,HKD 3.928
2018-06-15,0005,76.350,76.850,16.364M,76.400,78.250,"1,555.494B",N/A,1.253B,76.500,74.650,71.650M,76.300,76.610,76.350,76.695,3615,75.961,"346,716",77.111,76.571,74.699,83.582,63.572,"30,540",49.099,0.050/0.050,0.527%,20.267/13.898,3.710%,5.217/5.243,0.142,USD 0.480,+0.690,USD 0.510,USD 9.362
2018-06-15,0066,43.300,43.850,5.018M,43.600,45.900,262.012B,N/A,217.871M,43.850,43.300,24.731M,43.300,44.265,43.500,44.349,1112,43.563,"195,927",42.762,43.418,43.663,45.930,39.680,"21,650",43.969,0.050/0.050,-1.029%,15.300/25.381,1.389%,2.587/2.621,-0.741,HKD 2.830,+0.378,HKD 1.120,HKD 27.681
