Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-15,101,17.020,17.300,17.300,291.42M,17.01M,76.55B,17.000,17.020,1.8061,9.42,4.41%,17.460,17.000,21.650,17.080
2018-06-15,1038,58.500,59.100,59.000,192.33M,3.28M,155.06B,58.500,58.700,4.0705,14.37,4.07%,59.250,58.500,73.800,58.700
2018-06-15,1044,77.550,78.000,77.350,260.78M,3.36M,93.54B,77.550,77.600,3.1488,19.85,3.27%,78.400,77.050,88.700,52.800
2018-06-15,1088,21.200,21.150,20.900,564.87M,26.57M,72.04B,21.150,21.200,2.403,7.12,5.32%,21.450,20.900,25.750,16.380
2018-06-15,1093,24.050,24.600,24.600,1.21B,49.90M,150.14B,24.050,24.100,0.4548,52.88,0.62%,25.200,24.050,26.750,10.940
2018-06-15,1109,29.000,28.950,28.500,419.58M,14.44M,200.99B,28.950,29.000,3.3209,8.73,3.33%,29.450,28.500,34.450,21.050
2018-06-15,1113,65.650,65.650,65.000,646.95M,9.87M,242.74B,65.650,65.700,8.0716,8.13,2.59%,65.850,65.000,75.300,58.750
2018-06-15,11,198.300,197.900,198.000,304.68M,1.54M,379.11B,198.000,198.300,10.4705,18.94,3.43%,198.600,196.200,204.200,159.000
2018-06-15,1299,69.600,70.150,70.400,1.75B,24.99M,840.50B,69.600,69.700,0.51,17.50,1.44%,70.750,69.600,75.000,54.500
2018-06-15,12,44.200,44.050,44.050,169.37M,3.83M,194.53B,44.150,44.200,6.9148,6.39,3.52%,44.550,44.000,50.909,39.046
2018-06-15,1398,6.330,6.380,6.340,1.96B,309.71M,549.40B,6.330,6.340,0.79,6.40,4.76%,6.400,6.330,7.640,4.830
2018-06-15,144,17.220,17.180,17.200,144.34M,8.40M,56.44B,17.220,17.240,1.839,9.36,12.54%,17.260,17.080,26.030,16.960
2018-06-15,151,7.620,7.730,7.700,156.43M,20.49M,94.86B,7.610,7.620,0.2472,25.17,2.55%,7.740,7.550,8.180,5.000
2018-06-15,16,123.300,123.200,123.500,445.78M,3.60M,357.20B,123.300,123.400,14.43,8.54,3.41%,124.500,123.100,139.600,113.500
2018-06-15,175,23.200,23.450,23.450,1.06B,45.72M,208.27B,23.150,23.200,1.1905,15.74,1.25%,23.600,22.950,29.800,13.940
2018-06-15,17,11.700,11.860,11.940,186.70M,15.90M,119.48B,11.700,11.720,0.8035,14.56,4.02%,11.940,11.700,13.000,9.740
2018-06-15,1928,44.850,45.250,45.900,295.44M,6.57M,362.39B,44.850,44.900,0.1986,28.95,4.44%,45.900,44.550,49.350,33.800
2018-06-15,1997,60.800,59.450,59.250,517.47M,8.57M,184.60B,60.500,60.800,5.6709,10.72,1.56%,60.800,59.100,65.150,46.550
2018-06-15,19,83.250,83.000,83.000,317.50M,3.81M,75.35B,83.100,83.250,17.341,4.80,2.52%,83.700,82.900,83.800,71.850
2018-06-15,1,88.500,88.300,88.350,664.07M,7.52M,341.40B,88.300,88.500,9.0987,9.73,3.22%,88.500,87.800,108.900,87.100
2018-06-15,2007,16.200,16.140,16.040,703.75M,43.18M,352.20B,16.200,16.220,1.228,10.65,2.99%,16.560,16.040,18.226,7.962
2018-06-15,2018,120.300,119.400,118.300,527.76M,4.38M,147.00B,120.200,120.300,4.3467,22.12,1.75%,122.000,118.000,185.000,94.050
2018-06-15,2318,79.250,79.050,79.300,2.81B,35.47M,590.22B,79.200,79.250,4.9946,12.81,2.60%,79.900,78.900,98.543,49.745
2018-06-15,2319,27.500,27.900,27.700,512.69M,18.54M,108.00B,27.450,27.500,0.5258,41.79,0.54%,28.250,27.300,30.200,14.500
2018-06-15,2382,164.000,165.700,165.900,924.78M,5.58M,179.90B,164.000,164.300,2.6676,49.63,0.50%,168.500,163.900,174.900,62.500
2018-06-15,2388,39.450,39.800,39.550,405.60M,10.26M,417.09B,39.450,39.500,2.9387,13.42,3.54%,39.750,39.350,42.150,34.216
2018-06-15,23,32.300,32.000,32.000,103.04M,3.21M,90.68B,32.200,32.300,3.21,10.06,3.96%,32.300,31.650,36.000,30.550
2018-06-15,2628,21.950,22.250,22.000,846.14M,38.53M,163.33B,21.900,21.950,1.1411,15.50,2.23%,22.150,21.850,28.200,21.100
2018-06-15,267,11.600,11.620,11.620,196.96M,17.02M,337.44B,11.580,11.600,1.5092,7.69,3.10%,11.680,11.460,12.800,10.700
2018-06-15,27,64.350,64.850,64.500,596.05M,9.24M,277.89B,64.300,64.350,2.4513,26.25,1.15%,65.300,64.100,73.850,43.378
2018-06-15,288,7.040,6.960,6.870,597.73M,85.11M,103.31B,7.020,7.040,0.0779,11.59,3.84%,7.090,6.870,9.900,6.940
2018-06-15,2,81.500,81.250,81.000,351.68M,4.32M,205.90B,81.350,81.500,5.6399,14.45,3.60%,81.750,80.750,84.950,75.050
2018-06-15,3328,6.300,6.340,6.360,240.63M,38.21M,220.57B,6.290,6.300,0.91,5.56,5.65%,6.360,6.270,7.130,5.470
2018-06-15,386,7.200,7.280,7.210,1.07B,148.98M,183.69B,7.200,7.210,0.4233,13.72,8.52%,7.320,7.170,8.350,5.400
2018-06-15,388,255.400,255.600,255.000,1.14B,4.50M,318.42B,255.400,255.600,6.0309,42.35,2.11%,256.400,254.600,306.000,197.600
2018-06-15,3988,4.100,4.110,4.120,1.42B,346.62M,342.85B,4.100,4.110,0.56,5.87,5.35%,4.130,4.090,4.960,3.570
2018-06-15,3,14.900,14.860,14.820,501.28M,33.68M,229.25B,14.900,14.920,0.5345,27.88,2.14%,14.980,14.800,15.800,13.091
2018-06-15,5,76.350,76.400,76.500,1.25B,16.36M,"1,554.47B",76.300,76.350,0.4848,20.19,5.22%,76.850,76.300,86.000,67.550
2018-06-15,66,43.300,43.600,43.850,217.87M,5.02M,260.20B,43.300,43.500,2.8288,15.31,2.59%,43.850,43.300,46.800,40.550
