Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-15,0101,17.020,17.300,17.300,17.000 x 0,17.020 x 0,17.000 - 17.460,17.000 - 21.650,"17,012,051","3,742,656",76.551B,1.28,9.40,1.810,N/A,0.75 (4.21%),2018-04-30,21.70
2018-06-15,1038,58.500,59.100,59.000,58.500 x 0,58.700 x 0,58.500 - 59.250,58.500 - 73.800,"3,276,899","2,491,776",155.065B,0.12,14.37,4.070,"Jul 18, 2018",2.38 (3.75%),2018-05-14,76.68
2018-06-15,1044,77.550,78.000,77.350,77.550 x 0,77.600 x 0,77.050 - 78.400,54.600 - 88.700,"3,356,897","3,155,505",93.545B,0.59,20.54,3.775,"Mar 20, 2017",2.35 (3.28%),2018-05-21,82.94
2018-06-15,1088,21.200,21.150,20.900,21.150 x 0,21.200 x 0,20.900 - 21.450,16.380 - 25.750,"26,571,193","23,116,434",419.667B,1.13,7.36,2.881,N/A,1.13 (5.79%),2018-06-28,20.54
2018-06-15,1093,24.050,24.600,24.600,24.050 x 0,24.100 x 0,24.050 - 25.200,10.940 - 26.750,"49,903,969","35,130,590",150.145B,0.94,52.88,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-15,1109,29.000,28.950,28.500,28.950 x 0,29.000 x 0,28.500 - 29.450,21.050 - 34.450,"14,438,698","11,018,788",200.937B,1.51,8.73,3.320,"Mar 20, 2018",0.97 (3.11%),2018-06-13,35.12
2018-06-15,1113,65.650,65.650,65.000,65.650 x 0,65.700 x 0,65.000 - 65.850,58.750 - 75.300,"9,869,243","4,657,256",242.741B,1.48,8.14,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-15,0011,198.300,197.900,198.000,198.000 x 0,198.300 x 0,196.200 - 198.600,159.000 - 204.200,"1,539,895","1,272,544",379.118B,0.56,19.25,10.300,"Jul 30, 2018",6.80 (3.40%),2018-05-17,189.16
2018-06-15,1299,69.600,70.150,70.400,69.600 x 0,69.700 x 0,69.600 - 70.750,54.500 - 75.000,"24,994,458","21,752,713",835.986B,0.97,17.48,3.983,"Jul 26, 2018",1.00 (1.39%),2018-05-23,78.77
2018-06-15,0012,44.200,44.050,44.050,44.150 x 0,44.200 x 0,44.000 - 44.550,39.045 - 50.909,"3,828,751","3,483,826",194.536B,0.80,6.39,6.918,"Aug 20, 2018",1.55 (3.38%),2018-06-05,51.06
2018-06-15,1398,6.330,6.380,6.340,6.330 x 0,6.340 x 0,6.330 - 6.400,4.830 - 7.640,"309,707,675","225,667,791",2.028T,1.32,6.68,0.947,N/A,0.30 (4.57%),2018-07-05,8.64
2018-06-15,0144,17.220,17.180,17.200,17.220 x 0,17.240 x 0,17.080 - 17.260,16.960 - 27.400,"8,395,177","4,534,562",56.441B,1.01,9.36,1.839,N/A,0.81 (4.70%),2018-06-07,24.28
2018-06-15,0151,7.620,7.730,7.700,7.610 x 0,7.620 x 0,7.550 - 7.740,5.000 - 8.180,"20,491,131","17,108,574",94.864B,0.76,19.73,0.386,"Aug 20, 2018",0.07 (1.21%),N/A,7.15
2018-06-15,0016,123.300,123.200,123.500,123.300 x 0,123.400 x 0,123.100 - 124.500,113.500 - 139.600,"3,604,839","3,106,775",357.2B,0.93,10.90,11.310,"Sep 10, 2018",2.40 (1.95%),2018-03-12,152.71
2018-06-15,0175,23.200,23.450,23.450,23.150 x 0,23.200 x 0,22.950 - 23.600,13.940 - 29.800,"45,722,913","46,588,041",208.273B,N/A,16.26,N/A,"Aug 14, 2018",N/A (N/A),N/A,30.83
2018-06-15,0017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
