Symbol,High,Open,Amount,Low,Close,Volume,Beta,PE,EPS,Divident,Institute1,Last Advice1,Current Advice1,Last Price1,Current Price1,Institute2,Last Advice2,Current Advice2,Last Price2,Current Price2,Institute3,Last Advice3,Current Advice3,Last Price3,Current Price3,Institute4,Last Advice4,Current Advice4,Last Price4,Current Price4,Institute5,Last Advice5,Current Advice5,Last Price5,Current Price5
00388,262.800,261.400,11.79億,259.200,263.400,4.53百萬,1.382,43.111,6.031,2.08,高盛,買入,買入,310.000,300.000,德銀,賣出,賣出,240.000,240.000,野村,買入,買入,300.200,298.400,高盛,買入,買入,310.000,310.000,摩通,買入,買入,300.000,300.000
00688,29.200,29.200,5.96億,28.500,29.000,2.07千萬,1.155,7.740,3.721,2.78,德銀,買入,買入,34.980,35.250,大摩,買入,買入,36.000,31.000,德銀,買入,買入,34.910,34.980,高盛,買入,買入,36.100,36.500,花旗,買入,買入,38.750,33.760
00700,426.600,426.600,120.81億,412.600,429.200,2.89千萬,1.486,45.499,9.121,0.21,大摩,買入,買入,508.000,508.000,高盛,買入,買入,535.000,546.000,大摩,買入,買入,508.000,508.000,瑞信,買入,買入,540.000,523.000,瑞信,買入,買入,540.000,523.000
00762,10.800,10.660,5.86億,10.240,10.860,5.61千萬,0.849,115.955,0.089,0.62,瑞信,買入,買入,11.300,11.300,滙證,買入,買入,13.500,13.100,德銀,買入,買入,14.800,15.100,富瑞,買入,買入,23.160,23.160,大和,買入,買入,13.800,12.900
00823,74.200,73.500,3.33億,73.000,73.650,4.53百萬,0.407,3.376,21.714,3.41,滙證,持有,買入,74.600,83.000,摩通,買入,買入,77.000,81.400,美林,買入,買入,76.000,76.000,大摩,持有,持有,72.000,72.000,滙證,買入,買入,74.600,83.000
00836,15.900,15.860,7.50千萬,15.700,15.840,4.75百萬,0.462,16.240,0.968,5.57,富瑞,買入,買入,16.250,16.810,瑞信,持有,持有,14.100,14.000,德銀,買入,買入,18.200,16.000,里昂,買入,買入,19.100,16.500,高盛,買入,買入,17.300,17.300
00857,6.740,6.650,12.73億,6.530,6.590,1.92億,0.848,43.667,0.150,2.38,富瑞,買入,買入,8.000,8.000,美林,買入,買入,7.300,7.700,大摩,買入,買入,6.360,7.970,野村,買入,買入,6.730,7.610,瑞銀,買入,買入,6.900,6.900
00883,13.560,13.540,10.80億,13.120,13.460,8.14千萬,0.766,19.910,0.663,3.79,瑞銀,持有,持有,15.000,15.000,瑞銀,買入,持有,13.100,15.000,大摩,買入,買入,13.300,16.210,富瑞,買入,買入,16.250,17.000,瑞信,買入,買入,15.200,17.000
00939,8.250,8.250,22.60億,8.050,8.250,2.78億,1.385,6.978,1.158,4.32,法巴,未評級,買入,尚未評級,9.200,摩通,買入,買入,9.500,9.900,高盛,買入,買入,9.300,10.800,花旗,買入,買入,8.350,9.500,瑞信,買入,買入,8.800,10.200
00941,73.200,73.150,10.84億,71.150,73.200,1.51千萬,0.501,10.673,6.699,8.96,花旗,買入,買入,95.000,95.000,德銀,買入,買入,99.000,104.000,富瑞,賣出,持有,64.920,67.750,德銀,買入,買入,102.000,99.000,中銀,買入,買入,99.000,96.000
