Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-06,101,18.260,18.140,18.300,60.43M,3.31M,82.12B,18.240,18.260,1.8061,10.11,4.11%,18.380,18.140,21.800,17.080
2018-06-06,1038,59.550,59.200,59.600,81.58M,1.37M,157.84B,59.450,59.550,4.0705,14.63,4.00%,59.600,59.350,73.800,58.700
2018-06-06,1044,78.000,78.500,79.000,237.98M,3.05M,94.08B,78.000,78.050,3.1488,19.96,3.26%,79.150,77.400,88.700,52.800
2018-06-06,1088,21.300,20.950,21.100,474.68M,22.18M,72.38B,21.300,21.350,2.403,7.15,5.29%,21.650,21.000,25.750,16.380
2018-06-06,1093,25.650,26.000,26.000,735.41M,28.19M,160.13B,25.600,25.650,0.4548,56.40,0.58%,26.550,25.550,26.750,10.940
2018-06-06,1109,31.150,31.600,31.850,258.00M,8.23M,215.89B,31.150,31.200,3.3209,9.38,3.10%,31.850,31.100,34.450,21.050
2018-06-06,1113,67.250,66.950,67.700,270.96M,4.02M,248.65B,67.200,67.250,8.0716,8.33,2.53%,67.700,66.950,75.300,58.750
2018-06-06,11,197.700,196.700,197.900,264.15M,1.33M,377.97B,197.600,197.700,10.4705,18.88,3.44%,199.000,196.700,204.200,159.000
2018-06-06,1299,73.100,72.050,72.200,1.32B,18.19M,882.76B,73.000,73.100,0.51,18.38,1.37%,73.500,72.000,75.000,54.500
2018-06-06,12,46.550,46.950,46.950,217.60M,4.67M,204.87B,46.500,46.550,6.9148,6.73,3.34%,47.000,46.450,50.909,39.046
2018-06-06,1398,6.610,6.620,6.610,1.10B,166.32M,573.70B,6.610,6.620,0.79,6.69,4.56%,6.650,6.600,7.640,4.830
2018-06-06,144,18.260,18.140,18.200,77.01M,4.21M,59.84B,18.260,18.300,1.839,9.93,11.83%,18.360,18.100,26.030,16.960
2018-06-06,151,7.900,7.430,7.520,349.39M,44.13M,98.34B,7.890,7.900,0.277,25.39,2.12%,8.140,7.520,7.840,5.000
2018-06-06,16,127.800,126.700,126.500,271.23M,2.12M,370.23B,127.700,127.800,14.43,8.86,3.29%,128.600,126.500,139.600,113.500
2018-06-06,175,23.250,23.350,23.400,799.09M,34.48M,208.70B,23.200,23.250,1.1905,15.77,1.25%,23.500,23.000,29.800,13.180
2018-06-06,17,12.280,12.280,12.300,137.41M,11.22M,125.41B,12.260,12.280,0.8035,15.28,3.83%,12.300,12.180,13.000,9.740
2018-06-06,1928,44.950,45.250,45.150,879.00M,19.67M,363.13B,44.900,44.950,0.1986,29.02,4.43%,45.150,44.000,49.350,33.800
2018-06-06,1997,62.650,62.600,62.600,144.55M,2.31M,190.21B,62.650,62.700,5.6709,11.05,1.52%,63.250,61.550,65.150,46.550
2018-06-06,19,82.450,81.550,82.000,128.77M,1.57M,74.63B,82.350,82.450,17.341,4.75,2.55%,82.450,81.750,82.550,71.850
2018-06-06,1,90.350,89.750,90.100,601.98M,6.68M,348.54B,90.250,90.350,9.0987,9.93,3.15%,90.500,89.800,108.900,87.100
2018-06-06,2007,17.220,17.000,17.080,1.09B,63.55M,374.37B,17.200,17.220,1.228,11.32,2.81%,17.340,17.000,19.160,8.370
2018-06-06,2018,131.900,120.700,122.000,2.52B,19.59M,161.18B,131.700,131.900,4.3467,24.25,1.59%,131.900,122.000,185.000,87.850
2018-06-06,2318,79.350,79.500,80.200,2.59B,32.58M,590.96B,79.350,79.400,4.9946,12.82,2.60%,80.200,79.150,98.850,49.750
2018-06-06,2319,28.800,28.600,28.750,327.21M,11.42M,113.10B,28.800,28.850,0.5258,43.77,0.51%,29.000,28.150,29.100,14.500
2018-06-06,2382,168.000,160.200,161.500,1.61B,9.65M,184.29B,167.800,168.000,2.6676,50.84,0.48%,170.900,161.000,171.600,55.650
2018-06-06,2388,39.800,39.850,40.000,292.75M,7.38M,420.79B,39.750,39.800,2.9387,13.54,3.51%,40.000,39.400,42.150,34.216
2018-06-06,23,33.100,32.650,32.900,44.28M,1.34M,92.93B,33.050,33.100,3.21,10.31,3.87%,33.250,32.350,36.000,30.550
2018-06-06,2628,22.800,22.800,22.850,770.48M,33.63M,169.65B,22.800,22.850,1.1411,16.10,2.18%,23.000,22.800,28.200,21.100
2018-06-06,267,12.060,12.020,12.100,86.63M,7.19M,350.82B,12.040,12.060,1.5092,7.99,2.99%,12.160,11.960,12.800,10.700
2018-06-06,27,65.900,65.150,65.400,1.63B,25.04M,284.57B,65.850,65.900,2.4513,26.88,1.12%,65.950,64.100,73.850,43.378
2018-06-06,288,8.130,8.180,8.180,276.39M,33.73M,119.31B,8.130,8.150,0.0779,13.38,3.32%,8.290,8.130,9.900,7.160
2018-06-06,2,82.200,82.050,82.250,194.09M,2.36M,207.67B,82.150,82.200,5.6399,14.57,3.56%,82.650,81.800,85.000,75.050
2018-06-06,3328,6.320,6.280,6.260,115.28M,18.25M,221.27B,6.320,6.330,0.91,5.57,5.63%,6.340,6.260,7.130,5.470
2018-06-06,386,7.550,7.590,7.500,722.24M,95.34M,192.62B,7.550,7.560,0.4233,14.39,8.12%,7.670,7.500,8.350,5.400
2018-06-06,388,258.600,258.000,258.000,921.83M,3.56M,322.41B,258.400,258.600,6.0309,42.88,2.09%,260.400,257.400,306.000,197.600
