Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-14,0101,17.300,17.680,10.870M,17.600,19.200,79.160B,17.200,188.369M,17.300,17.080,22.770M,17.300,17.978,17.320,18.175,1037,18.103,"181,648",18.431,17.329,18.355,21.070,16.700,"17,300",37.244,0.020/0.020,-2.809%,9.558/16.398,0.755%,4.335/4.335,-3.721,HKD 1.810,+0.619,HKD 0.750,HKD 30.274
2018-06-14,1038,59.100,59.600,2.114M,59.350,61.800,157.318B,59.000,125.245M,59.350,58.700,24.093M,59.100,59.415,59.150,59.573,1113,60.317,"112,530",62.412,59.246,64.706,71.420,58.700,"29,550",42.960,0.050/0.050,-0.169%,14.521/12.655,2.906%,4.027/4.408,-0.058,HKD 4.070,+0.355,HKD 2.380,HKD 39.036
2018-06-14,1044,78.000,78.450,2.291M,77.500,79.850,93.485B,77.050,178.432M,77.400,67.777,52.609M,78.000,77.190,78.050,74.589,1171,72.861,"152,376",73.632,77.884,70.381,87.277,53.811,"39,000",60.223,0.050/0.050,4.418%,20.252/18.539,8.019%,3.335/3.403,0.551,RMB 3.149,+0.532,RMB 2.100,RMB 13.356
2018-06-14,1088,21.150,21.600,31.379M,21.050,22.150,71.540B,20.900,666.141M,21.150,19.600,38.187M,21.100,21.105,21.150,20.760,4494,20.101,"148,229",21.181,21.229,19.874,25.750,15.818,"10,575",53.454,0.050/0.050,3.171%,7.196/7.635,1.745%,5.337/5.020,1.817,RMB 2.403,+1.270,RMB 0.910,RMB 15.362
2018-06-14,1093,24.600,25.050,25.382M,24.950,26.600,155.763B,24.300,625.185M,24.750,21.050,14.839M,24.600,25.080,24.650,24.510,3155,22.320,"198,157",20.231,24.631,16.143,26.600,10.790,"49,200",57.753,0.050/0.050,0.204%,54.090/41.345,4.037%,0.610/0.793,0.050,HKD 0.455,+0.904,HKD 0.150,HKD 2.454
2018-06-14,1109,28.950,30.150,15.184M,30.050,31.233,208.275B,28.800,444.009M,30.100,26.833,93.314M,28.950,29.910,29.000,29.244,1619,28.565,"274,249",28.420,29.242,24.916,33.583,20.183,"57,900",56.399,0.050/0.050,3.641%,8.720/8.355,3.141%,3.340/4.162,1.159,HKD 3.320,+1.259,HKD 0.967,HKD 20.645
2018-06-14,1113,65.650,66.350,5.719M,66.200,68.850,244.774B,65.300,375.517M,65.650,64.500,39.051M,65.650,66.460,65.700,66.560,1613,66.048,"232,807",67.233,65.661,65.326,74.020,57.050,"32,825",48.213,0.050/0.050,0.229%,8.135/9.877,3.189%,2.589/2.894,0.072,HKD 8.070,+0.616,HKD 1.700,HKD 78.851
2018-06-14,0011,197.900,199.500,1.091M,199.100,203.600,380.648B,197.300,216.137M,198.100,192.500,47.831M,197.900,198.540,198.100,197.390,1057,193.996,"204,482",188.967,198.109,180.304,203.600,152.200,"19,790",54.081,0.100/0.100,0.815%,19.214/17.513,12.197%,3.436/3.638,0.067,HKD 10.300,+0.550,HKD 6.700,HKD 79.520
2018-06-14,1299,70.150,71.450,21.074M,71.150,74.256,859.222B,70.000,1.485B,71.000,69.850,N/A,70.100,72.110,70.150,71.734,5671,69.793,"261,853",67.126,70.466,62.827,74.256,53.500,"14,030",49.920,0.050/0.050,-2.569%,17.526/19.863,4.859%,1.426/1.678,-0.529,USD 0.510,+1.096,USD 0.128,USD 3.478
2018-06-14,0012,44.050,44.700,3.671M,44.700,48.000,196.736B,N/A,162.270M,44.700,44.650,19.547M,44.050,46.005,44.100,45.746,756,45.155,"214,643",45.546,44.203,44.419,49.791,37.491,"44,050",41.303,0.050/0.050,-3.802%,6.367/12.122,2.784%,3.529/3.580,-1.366,HKD 6.918,+0.659,HKD 1.555,HKD 66.600
2018-06-14,1398,6.380,6.440,427.074M,6.440,7.000,558.954B,N/A,2.723B,6.390,6.370,138.608M,6.380,6.571,6.390,6.616,7075,6.714,"384,825",6.834,6.376,6.228,7.640,4.830,"6,380",38.241,0.010/0.010,-1.846%,6.603/6.137,0.636%,4.715/4.984,-2.903,RMB 0.790,+1.369,RMB 0.241,RMB 5.969
2018-06-14,0144,17.180,17.360,4.506M,17.280,18.570,56.637B,17.180,77.592M,17.320,16.950,8.508M,17.180,17.415,17.200,17.510,595,17.113,"130,407",17.765,17.220,20.013,25.240,16.370,"34,360",48.360,0.020/0.020,-0.751%,9.342/10.908,2.409%,12.573/4.075,-0.312,HKD 1.839,+0.776,HKD 2.160,HKD 22.409
2018-06-14,0151,7.730,7.890,14.155M,7.850,8.180,97.727B,7.730,110.251M,7.800,6.900,18.598M,7.730,7.807,7.740,7.532,1498,7.060,"73,599",6.795,7.789,6.133,8.180,4.926,"7,730",60.654,0.010/0.010,-0.643%,25.566/23.582,0.752%,2.527/1.978,-0.855,RMB 0.309,+0.553,RMB 0.199,RMB 1.163
2018-06-14,0016,123.200,125.400,4.276M,124.900,131.800,361.836B,123.200,529.801M,124.500,123.100,44.706M,123.200,126.870,123.500,126.625,928,125.736,"570,907",127.292,123.901,124.286,138.400,109.300,"123,200",43.917,0.100/0.100,-2.686%,8.538/11.700,5.815%,3.409/3.571,-0.462,HKD 14.430,+0.663,HKD 4.100,HKD 172.025
2018-06-14,0175,23.450,23.900,33.331M,23.850,24.600,214.108B,23.200,782.533M,23.800,21.610,78.763M,23.400,23.271,23.450,22.883,3918,22.395,"199,728",23.365,23.478,22.530,29.510,13.990,"23,450",58.902,0.050/0.050,6.785%,16.111/12.614,3.485%,1.237/1.586,1.947,RMB 1.190,+1.755,RMB 0.234,RMB 3.842
2018-06-14,0017,11.860,12.140,12.927M,12.020,12.480,122.756B,11.820,154.404M,11.980,11.640,22.789M,11.860,12.166,11.880,12.073,930,11.638,"166,026",11.722,11.944,11.089,12.860,9.270,"11,860",52.552,0.020/0.020,-1.495%,14.825/15.920,0.835%,3.963/3.955,-1.790,HKD 0.800,+0.847,HKD 0.460,HKD 18.959
2018-06-14,1928,45.250,45.800,7.592M,45.000,47.600,363.608B,45.000,344.706M,45.300,44.000,124.174M,45.250,45.315,45.350,45.783,2371,44.392,"145,384",43.836,45.404,38.792,47.600,31.810,"18,100",48.048,0.050/0.050,-3.621%,29.031/23.533,4.530%,4.398/4.492,-0.799,USD 0.199,+0.889,USD 0.254,USD 0.562
2018-06-14,1997,59.450,60.700,1.881M,60.000,65.150,182.174B,59.450,112.598M,60.500,57.150,31.912M,59.450,61.165,59.500,60.535,688,57.869,"163,660",54.800,59.861,N/A,65.150,45.600,"59,450",50.212,0.050/0.050,-1.817%,10.485/19.950,4.172%,/3.280,-0.435,HKD 5.670,N/A,HKD 0.950,HKD 68.281
2018-06-14,0019,83.000,83.600,2.343M,83.150,83.800,75.268B,82.800,194.746M,83.150,77.650,38.370M,83.000,82.075,83.100,80.640,928,78.936,"209,855",77.982,83.118,76.354,83.800,70.750,"41,500",65.678,0.050/0.050,2.596%,4.787/--,2.507%,2.530/--,1.035,HKD 17.340,+0.427,HKD 2.100,HKD 168.470
2018-06-14,0001,88.300,89.600,5.742M,89.500,92.000,345.262B,88.000,507.814M,88.900,87.100,59.385M,88.300,90.000,88.350,89.445,2362,89.942,"214,993",93.707,88.439,95.886,106.050,87.100,"44,150",47.768,0.050/0.050,-0.282%,9.703/8.764,3.715%,3.228/3.343,-0.076,HKD 9.100,+0.529,HKD 2.850,HKD 111.481
2018-06-14,2007,16.140,16.640,29.959M,16.420,16.920,356.986B,16.000,483.937M,16.620,14.080,103.539M,16.120,16.028,16.140,15.587,3556,15.187,"136,090",14.703,16.153,12.212,18.013,7.045,"16,140",62.626,0.020/0.020,11.004%,10.746/9.494,2.779%,3.017/3.660,3.960,RMB 1.228,+1.798,RMB 0.400,RMB 4.402
2018-06-14,2018,119.400,121.000,6.232M,121.600,134.600,148.595B,118.200,744.236M,121.000,106.300,53.552M,119.400,123.240,119.500,118.615,2408,122.078,"309,068",133.632,119.422,131.371,183.300,91.950,"59,700",50.684,0.100/0.100,2.577%,22.442/16.465,19.967%,1.759/2.110,0.129,RMB 4.350,+1.496,RMB 1.681,RMB 14.362
