Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-14,101,17.300,17.600,17.300,188.36M,10.87M,77.81B,17.300,17.320,1.8061,9.58,4.34%,17.680,17.200,21.650,17.080
2018-06-14,1038,59.100,59.350,59.350,125.24M,2.11M,156.65B,59.100,59.150,4.0705,14.52,4.03%,59.600,59.000,73.800,58.700
2018-06-14,1044,78.000,77.500,77.400,178.43M,2.29M,94.08B,78.000,78.050,3.1488,19.96,3.26%,78.450,77.050,88.700,52.800
2018-06-14,1088,21.150,21.050,21.150,666.14M,31.38M,71.88B,21.100,21.150,2.403,7.10,5.33%,21.600,20.900,25.750,16.380
2018-06-14,1093,24.600,24.950,24.750,625.18M,25.38M,153.57B,24.600,24.650,0.4548,54.09,0.61%,25.050,24.300,26.750,10.940
2018-06-14,1109,28.950,30.050,30.100,444.00M,15.18M,200.65B,28.950,29.000,3.3209,8.72,3.34%,30.150,28.800,34.450,21.050
2018-06-14,1113,65.650,66.200,65.650,375.51M,5.72M,242.74B,65.650,65.700,8.0716,8.13,2.59%,66.350,65.300,75.300,58.750
2018-06-14,11,197.900,199.100,198.100,216.13M,1.09M,378.35B,197.900,198.100,10.4705,18.90,3.44%,199.500,197.300,204.200,159.000
2018-06-14,1299,70.150,71.150,71.000,1.48B,21.07M,847.14B,70.100,70.150,0.51,17.63,1.43%,71.450,70.000,75.000,54.500
2018-06-14,12,44.050,44.700,44.700,162.26M,3.67M,193.87B,44.050,44.100,6.9148,6.37,3.53%,44.700,44.050,50.909,39.046
2018-06-14,1398,6.380,6.440,6.390,2.72B,427.07M,553.74B,6.380,6.390,0.79,6.45,4.72%,6.440,6.340,7.640,4.830
2018-06-14,144,17.180,17.280,17.320,77.59M,4.51M,56.30B,17.180,17.200,1.839,9.34,12.57%,17.360,17.180,26.030,16.960
2018-06-14,151,7.730,7.850,7.800,110.25M,14.16M,96.23B,7.730,7.740,0.2472,25.54,2.51%,7.890,7.730,8.180,5.000
2018-06-14,16,123.200,124.900,124.500,529.80M,4.28M,356.91B,123.200,123.500,14.43,8.54,3.41%,125.400,123.200,139.600,113.500
