Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-14,0101,17.300,17.600,17.300,17.300 x 0,17.320 x 0,17.200 - 17.680,17.080 - 21.650,"10,870,447","3,608,633",77.811B,1.28,9.56,1.810,N/A,0.75 (4.21%),2018-04-30,21.70
2018-06-14,1038,59.100,59.350,59.350,59.100 x 0,59.150 x 0,59.000 - 59.600,58.700 - 73.800,"2,113,786","2,514,097",156.655B,0.12,14.52,4.070,"Jul 18, 2018",2.38 (3.80%),2018-05-14,76.25
2018-06-14,1044,78.000,77.500,77.400,78.000 x 0,78.050 x 0,77.050 - 78.450,53.700 - 88.700,"2,291,318","3,139,936",94.088B,0.59,20.66,3.775,"Mar 20, 2017",2.35 (3.28%),2018-05-21,82.94
2018-06-14,1088,21.150,21.050,21.150,21.100 x 0,21.150 x 0,20.900 - 21.600,16.380 - 25.750,"31,378,816","22,834,202",418.677B,1.30,7.34,2.881,N/A,1.13 (5.41%),2018-06-28,20.54
2018-06-14,1093,24.600,24.950,24.750,24.600 x 0,24.650 x 0,24.300 - 25.050,10.940 - 26.750,"25,382,409","35,066,042",153.578B,0.94,54.09,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-14,1109,28.950,30.050,30.100,28.950 x 0,29.000 x 0,28.800 - 30.150,21.050 - 34.450,"15,184,403","10,848,470",200.59B,1.51,8.72,3.320,"Mar 20, 2018",0.97 (3.11%),2018-06-13,35.12
2018-06-14,1113,65.650,66.200,65.650,65.650 x 0,65.700 x 0,65.300 - 66.350,58.750 - 75.300,"5,718,718","4,637,851",242.741B,1.48,8.14,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-14,0011,197.900,199.100,198.100,197.900 x 0,198.100 x 0,197.300 - 199.500,159.000 - 204.200,"1,091,207","1,279,521",378.353B,0.56,19.21,10.300,"Jul 30, 2018",6.80 (3.40%),2018-05-17,189.16
2018-06-14,1299,70.150,71.150,71.000,70.100 x 0,70.150 x 0,70.000 - 71.450,54.500 - 75.000,"21,073,563","21,662,983",842.593B,0.97,17.61,3.983,"Jul 26, 2018",1.00 (1.39%),2018-05-23,78.75
2018-06-14,0012,44.050,44.700,44.700,44.050 x 0,44.100 x 0,44.050 - 44.700,39.045 - 50.909,"3,670,716","3,472,520",193.875B,0.80,6.37,6.918,"Aug 20, 2018",1.55 (3.38%),2018-06-05,51.06
2018-06-14,1398,6.380,6.440,6.390,6.380 x 0,6.390 x 0,6.340 - 6.440,4.830 - 7.640,"427,073,774","223,023,848",2.044T,1.30,6.74,0.947,N/A,0.30 (4.47%),2018-07-05,8.64
2018-06-14,0144,17.180,17.280,17.320,17.180 x 0,17.200 x 0,17.180 - 17.360,16.960 - 27.400,"4,505,799","4,528,315",56.31B,1.01,9.34,1.839,N/A,0.81 (4.70%),2018-06-07,24.28
2018-06-14,0151,7.730,7.850,7.800,7.730 x 0,7.740 x 0,7.730 - 7.890,5.000 - 8.180,"14,155,430","17,027,990",96.233B,0.76,20.02,0.386,"Aug 20, 2018",0.07 (1.15%),2017-12-04,7.15
2018-06-14,0016,123.200,124.900,124.500,123.200 x 0,123.500 x 0,123.200 - 125.400,113.500 - 139.600,"4,276,130","3,076,475",356.91B,0.93,10.89,11.310,"Sep 10, 2018",2.40 (1.95%),2018-03-12,152.71
2018-06-14,0175,23.450,23.850,23.800,23.400 x 0,23.450 x 0,23.200 - 23.900,13.940 - 29.800,"33,330,983","46,578,655",210.517B,N/A,16.44,N/A,"Aug 14, 2018",N/A (N/A),N/A,30.83
2018-06-14,0017,11.860,12.020,11.980,11.860 x 0,11.880 x 0,11.820 - 12.140,9.740 - 13.000,"12,927,417","12,198,955",121.121B,1.30,12.48,0.950,N/A,0.28 (2.31%),2018-03-16,13.70
2018-06-14,1928,45.250,45.000,45.300,45.250 x 0,45.350 x 0,45.000 - 45.800,33.800 - 49.350,"7,591,571","11,428,024",365.629B,0.91,29.16,1.552,"May 3, 2018",1.00 (2.23%),2018-05-31,49.42
2018-06-14,1997,59.450,60.000,60.500,59.450 x 0,59.500 x 0,59.450 - 60.700,46.550 - 65.150,"1,881,081","2,482,967",180.504B,N/A,10.49,5.670,N/A,1.90 (3.06%),2018-04-06,62.08
2018-06-14,0019,83.000,83.150,83.150,83.000 x 0,83.100 x 0,82.800 - 83.600,71.850 - 83.800,"2,343,055","1,362,398",117.296B,0.65,4.79,17.340,N/A,4.30 (5.70%),2018-04-11,92.34
2018-06-14,0001,88.300,89.500,88.900,88.300 x 0,88.350 x 0,88.000 - 89.600,87.100 - 108.900,"5,741,797","4,882,180",340.633B,0.85,9.70,9.100,"Aug 1, 2018",2.85 (3.16%),2018-05-15,124.62
2018-06-14,2007,16.140,16.420,16.620,16.120 x 0,16.140 x 0,16.000 - 16.640,8.370 - 19.160,"29,959,322","48,667,835",349.16B,1.18,10.96,1.472,"Aug 20, 2018",0.61 (3.56%),2018-05-21,18.27
2018-06-14,2018,119.400,121.600,121.000,119.400 x 0,119.500 x 0,118.200 - 121.000,94.050 - 185.000,"6,231,707","7,023,954",145.907B,-0.08,22.89,5.215,"Aug 23, 2018",2.10 (1.46%),2018-06-07,152.69
2018-06-14,2318,79.050,78.550,78.700,79.050 x 0,79.100 x 0,78.500 - 80.400,49.900 - 98.850,"54,744,171","51,672,291",1.575T,1.61,13.21,5.983,N/A,1.82 (2.31%),2018-06-07,102.95
2018-06-14,2319,27.900,29.300,29.300,27.900 x 0,27.950 x 0,27.800 - 29.300,14.500 - 30.200,"20,911,172","15,664,719",109.573B,0.82,44.24,0.631,"Aug 28, 2018",0.15 (0.57%),2018-05-08,29.46
2018-06-14,2382,165.700,168.600,169.000,165.700 x 0,166.200 x 0,164.200 - 170.500,63.900 - 174.900,"4,919,983","7,123,690",180.769B,1.33,51.81,3.198,"Aug 13, 2018",0.81 (0.54%),2018-06-01,145.67
2018-06-14,2388,39.800,39.850,40.000,39.800 x 0,39.850 x 0,39.500 - 40.000,34.300 - 42.150,"6,261,048","8,513,206",420.797B,1.07,13.54,2.939,"Aug 28, 2018",1.30 (3.26%),2018-06-29,45.87
2018-06-14,0023,32.000,32.150,32.000,31.900 x 0,32.000 x 0,31.750 - 32.350,30.550 - 36.000,"1,571,482","1,424,224",89.845B,1.07,9.97,3.210,"Aug 23, 2018",1.28 (3.92%),2018-03-08,29.46
2018-06-14,2628,22.250,22.350,22.350,22.200 x 0,22.250 x 0,22.100 - 22.650,21.100 - 28.200,"23,689,564","33,894,737",825.827B,1.30,16.42,1.355,N/A,0.49 (2.15%),2018-06-13,29.96
2018-06-14,0267,11.620,11.720,11.600,11.600 x 0,11.620 x 0,11.540 - 11.740,10.700 - 12.800,"9,200,391","7,556,790",338.029B,0.78,7.70,1.510,N/A,0.36 (3.04%),2018-06-19,12.45
2018-06-14,0027,64.850,65.500,64.800,64.800 x 0,64.850 x 0,64.650 - 65.900,43.900 - 73.850,"7,824,807","10,830,571",280.052B,1.35,26.46,2.451,"Aug 27, 2018",N/A (N/A),2018-03-23,78.78
2018-06-14,0288,6.960,7.190,7.150,6.960 x 0,6.980 x 0,6.940 - 7.160,6.940 - 9.900,"77,579,324","34,684,834",102.063B,1.04,N/A,N/A,N/A,0.27 (3.46%),2018-06-07,10.51
2018-06-14,0002,81.250,81.550,82.100,81.250 x 0,81.300 x 0,81.050 - 82.100,75.050 - 84.950,"1,620,838","2,382,301",205.274B,0.23,14.41,5.640,"Aug 6, 2018",2.44 (2.98%),2018-06-04,83.51
2018-06-14,3328,6.340,6.340,6.290,6.330 x 0,6.340 x 0,6.290 - 6.370,5.470 - 7.130,"35,104,113","27,552,332",455.91B,1.25,5.81,1.091,N/A,0.36 (5.59%),2018-06-25,7.12
2018-06-14,0386,7.280,7.440,7.550,7.270 x 0,7.280 x 0,7.200 - 7.550,5.400 - 8.350,"161,290,182","140,580,721",792.574B,1.21,14.36,0.507,N/A,0.61 (8.29%),2018-05-25,8.80
2018-06-14,0388,255.600,257.600,256.000,255.400 x 0,255.600 x 0,254.000 - 258.200,197.600 - 306.000,"5,289,458","5,760,477",317.9B,1.43,42.39,6.030,"Aug 7, 2018",5.70 (2.19%),2018-04-27,316.49
2018-06-14,3988,4.110,4.130,4.130,4.110 x 0,4.120 x 0,4.100 - 4.150,3.570 - 4.960,"347,162,990","277,428,815",1.382T,1.35,6.12,0.600,N/A,0.22 (5.23%),2018-07-05,4.32
2018-06-14,0003,14.860,15.000,15.000,14.860 x 0,14.880 x 0,14.800 - 15.020,13.091 - 15.800,"20,969,384","15,405,223",228.642B,0.57,27.80,0.535,"Aug 20, 2018",0.32 (2.09%),2018-06-08,14.40
2018-06-14,0005,76.400,76.650,76.700,76.400 x 0,76.450 x 0,76.150 - 76.800,67.550 - 86.000,"13,050,437","17,361,348",1.538T,0.92,20.37,3.751,N/A,3.99 (5.18%),2018-02-22,86.38
2018-06-14,0066,43.600,44.050,44.000,43.550 x 0,43.600 x 0,43.300 - 44.100,40.550 - 46.800,"3,670,189","3,518,052",262.012B,0.46,15.41,1.740,"Aug 7, 2018",1.12 (2.52%),2018-05-18,45.16
2018-06-14,0688,28.500,28.850,29.200,28.500 x 0,28.550 x 0,28.350 - 29.200,22.500 - 32.200,"20,399,479","14,414,446",312.252B,1.38,7.66,3.720,"Aug 20, 2018",0.80 (3.11%),2018-06-13,33.38
2018-06-14,0006,55.300,55.950,55.500,55.250 x 0,55.300 x 0,55.100 - 56.000,54.000 - 78.800,"3,656,568","6,218,075",118.025B,0.52,14.18,3.900,"Jul 18, 2018",N/A (N/A),2018-05-14,65.42
2018-06-14,0700,412.000,415.200,417.600,412.000 x 0,412.200 x 0,408.600 - 417.600,260.400 - 476.600,"17,691,467","28,971,963",3.887T,1.10,45.23,9.109,"Aug 14, 2018",0.88 (0.22%),2018-05-18,527.57
2018-06-14,0762,10.100,10.180,10.040,10.100 x 0,10.120 x 0,10.000 - 10.200,9.200 - 13.240,"18,178,075","31,138,921",309.041B,0.91,120.35,0.084,"Aug 14, 2018",0.06 (0.62%),2018-05-16,13.73
2018-06-14,0823,71.400,71.050,70.750,71.300 x 0,71.400 x 0,70.750 - 71.800,58.000 - 75.000,"5,590,736","4,249,094",153.514B,0.47,3.29,21.710,"Jun 4, 2018",2.43 (3.65%),2017-11-21,76.48
2018-06-14,0836,15.940,16.020,16.020,15.940 x 0,15.960 x 0,15.880 - 16.120,12.820 - 16.480,"12,859,259","7,975,344",76.678B,0.79,16.43,0.970,"Aug 14, 2018",0.88 (5.40%),2018-06-15,17.22
2018-06-14,0083,13.360,13.660,13.600,13.360 x 0,13.380 x 0,13.320 - 13.740,12.440 - 15.060,"7,191,533","4,586,759",88.217B,0.78,11.23,1.190,"Aug 22, 2018",0.53 (3.89%),2018-03-13,15.67
2018-06-14,0857,6.120,6.270,6.270,6.120 x 0,6.130 x 0,6.050 - 6.290,4.720 - 6.740,"149,081,101","149,702,518",1.667T,1.00,42.54,0.144,N/A,0.07 (1.12%),2018-06-13,7.54
2018-06-14,0883,13.080,13.380,13.260,13.080 x 0,13.100 x 0,12.960 - 13.580,8.450 - 14.640,"57,280,575","73,551,992",583.989B,0.70,"1,177.11",0.011,"Aug 22, 2018",0.50 (3.79%),2018-06-07,15.66
2018-06-14,0939,7.870,7.960,7.900,7.870 x 0,7.880 x 0,7.850 - 7.940,5.910 - 9.390,"420,736,710","283,938,880",2.404T,1.21,6.84,1.151,N/A,0.36 (4.44%),2018-07-09,10.58
2018-06-14,0941,70.450,70.850,70.650,70.450 x 0,70.500 x 0,70.100 - 70.850,69.600 - 89.600,"17,892,767","14,627,251",1.442T,0.60,10.53,6.690,"Aug 8, 2018",3.21 (4.35%),2018-05-24,93.74
