Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,57.049999,57.799999,56.849998,57.799999,57.799999,953910
2018-05-09,57.200001,59.799999,57.200001,59.700001,59.700001,4791880
2018-05-10,59.500000,60.799999,59.000000,60.650002,60.650002,2240935
2018-05-11,62.450001,62.750000,58.000000,61.900002,61.900002,3439734
2018-05-14,62.799999,65.150002,62.599998,64.000000,64.000000,3305286
2018-05-15,64.000000,64.000000,63.000000,63.200001,63.200001,1811550
2018-05-16,63.000000,63.000000,60.700001,61.049999,61.049999,4216841
2018-05-17,61.200001,61.599998,59.349998,59.799999,59.799999,2294680
2018-05-18,60.250000,61.000000,59.000000,59.049999,59.049999,3059947
2018-05-21,59.200001,60.000000,59.150002,59.700001,59.700001,2321269
2018-05-23,59.200001,59.700001,58.450001,58.700001,58.700001,3525707
2018-05-24,59.150002,59.150002,57.599998,58.049999,58.049999,3523425
2018-05-25,58.200001,58.400002,57.650002,58.250000,58.250000,1161834
2018-05-28,58.049999,60.900002,57.150002,60.900002,60.900002,2676451
2018-05-29,60.799999,63.049999,60.000000,62.599998,62.599998,3254942
2018-05-30,61.599998,62.000000,60.299999,60.950001,60.950001,2936253
2018-05-31,60.700001,61.049999,59.599998,60.549999,60.549999,4948577
2018-06-01,61.000000,62.000000,60.299999,60.400002,60.400002,4231649
2018-06-04,60.900002,62.599998,60.400002,62.200001,62.200001,2656729
2018-06-05,61.849998,64.150002,61.849998,62.599998,62.599998,2926494
2018-06-06,62.599998,63.250000,61.549999,62.650002,62.650002,2311815
2018-06-07,63.250000,63.250000,61.349998,62.150002,62.150002,1942535
2018-06-08,61.099998,61.900002,60.099998,60.400002,60.400002,1469851
