Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,44.200001,44.799999,44.099998,44.799999,43.949924,3292479
2018-05-09,44.549999,45.099998,44.450001,45.099998,44.244232,3843327
2018-05-10,45.200001,45.750000,44.799999,45.700001,44.832848,4845842
2018-05-11,45.799999,45.799999,45.299999,45.450001,44.587593,4795265
2018-05-14,45.700001,45.900002,45.400002,45.900002,45.029053,3762582
2018-05-15,46.000000,46.400002,45.849998,46.349998,45.470512,8088103
2018-05-16,46.200001,46.349998,45.849998,46.200001,45.323360,4787345
2018-05-17,46.299999,46.349998,45.799999,45.849998,44.980000,4253020
2018-05-18,45.349998,45.400002,44.599998,45.099998,45.099998,3965126
2018-05-21,45.400002,45.900002,45.299999,45.500000,45.500000,4303987
2018-05-23,45.799999,45.799999,43.849998,43.849998,43.849998,9919354
2018-05-24,43.900002,44.099998,43.599998,43.799999,43.799999,2997691
2018-05-25,43.950001,44.400002,43.900002,44.299999,44.299999,3135432
2018-05-28,44.599998,44.599998,44.250000,44.299999,44.299999,2739549
2018-05-29,44.599998,44.650002,43.799999,44.099998,44.099998,2861354
2018-05-30,43.500000,44.250000,43.500000,44.250000,44.250000,4587801
2018-05-31,44.049999,44.650002,43.849998,44.150002,44.150002,7887992
2018-06-01,44.549999,44.549999,43.750000,43.750000,43.750000,13799545
2018-06-04,44.250000,44.250000,43.799999,44.099998,44.099998,3235394
2018-06-05,43.900002,44.549999,43.900002,44.349998,44.349998,2562224
2018-06-06,44.349998,44.599998,44.349998,44.599998,44.599998,2298355
2018-06-07,44.599998,44.900002,44.549999,44.849998,44.849998,2939882
2018-06-08,44.650002,44.650002,44.349998,44.500000,44.500000,1922955
