Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,8.000000,8.110000,7.970000,8.070000,8.070000,225080556
2018-05-09,8.040000,8.100000,8.020000,8.090000,8.090000,169434536
2018-05-10,8.130000,8.170000,8.050000,8.100000,8.100000,182096592
2018-05-11,8.180000,8.240000,8.150000,8.200000,8.200000,252939474
2018-05-14,8.290000,8.350000,8.260000,8.350000,8.350000,319548581
2018-05-15,8.430000,8.500000,8.260000,8.270000,8.270000,329033136
2018-05-16,8.190000,8.330000,8.160000,8.300000,8.300000,193639461
2018-05-17,8.380000,8.380000,8.160000,8.160000,8.160000,214609649
2018-05-18,8.150000,8.220000,8.100000,8.170000,8.170000,278111144
2018-05-21,8.210000,8.320000,8.180000,8.180000,8.180000,235285671
2018-05-23,8.220000,8.220000,8.050000,8.050000,8.050000,283508756
2018-05-24,8.090000,8.110000,8.030000,8.080000,8.080000,192995884
2018-05-25,8.080000,8.170000,8.080000,8.080000,8.080000,240872798
2018-05-28,8.140000,8.140000,8.050000,8.090000,8.090000,176651621
2018-05-29,8.050000,8.070000,7.950000,7.980000,7.980000,303054788
2018-05-30,7.870000,7.920000,7.800000,7.820000,7.820000,494907643
2018-05-31,7.850000,7.920000,7.810000,7.920000,7.920000,1042778204
2018-06-01,7.950000,7.980000,7.900000,7.960000,7.960000,406326839
2018-06-04,8.060000,8.160000,8.010000,8.150000,8.150000,363909713
2018-06-05,8.150000,8.170000,8.060000,8.150000,8.150000,248533811
2018-06-06,8.180000,8.200000,8.110000,8.140000,8.140000,236393257
2018-06-07,8.230000,8.280000,8.170000,8.250000,8.250000,370289926
2018-06-08,8.250000,8.250000,8.050000,8.080000,8.080000,278292795
