Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,75.599998,77.400002,75.000000,77.400002,77.400002,1317224
2018-05-09,77.199997,77.349998,76.550003,77.250000,77.250000,963375
2018-05-10,77.449997,77.800003,76.300003,76.849998,76.849998,786077
2018-05-11,77.500000,79.500000,77.150002,79.150002,79.150002,2385325
2018-05-14,80.000000,80.150002,79.099998,80.000000,80.000000,1779681
2018-05-15,79.500000,80.500000,78.000000,80.150002,80.150002,1564203
2018-05-16,78.900002,79.800003,77.650002,79.349998,79.349998,1387246
2018-05-17,80.199997,80.199997,77.800003,77.800003,77.800003,1411378
2018-05-18,78.000000,79.500000,77.800003,79.300003,79.300003,2017467
2018-05-21,79.300003,79.699997,78.750000,79.550003,79.550003,736471
2018-05-23,79.250000,79.599998,78.000000,78.800003,78.800003,1281102
2018-05-24,79.900002,79.900002,78.300003,79.349998,79.349998,1175398
2018-05-25,80.099998,80.099998,78.949997,79.150002,79.150002,947488
2018-05-28,79.199997,79.800003,78.750000,79.599998,79.599998,443209
2018-05-29,80.000000,80.000000,79.449997,79.849998,79.849998,981878
2018-05-30,79.849998,79.849998,78.699997,79.300003,79.300003,1343924
2018-05-31,79.900002,80.900002,79.000000,80.900002,80.900002,2300845
2018-06-01,81.000000,81.000000,80.099998,80.650002,80.650002,1779155
2018-06-04,80.250000,81.000000,80.199997,80.400002,80.400002,804320
2018-06-05,81.000000,82.500000,80.500000,81.550003,81.550003,1948991
2018-06-06,82.000000,82.449997,81.750000,82.449997,82.449997,1568157
2018-06-07,82.800003,83.199997,82.300003,83.199997,83.199997,1560845
2018-06-08,83.199997,83.500000,82.599998,83.250000,83.250000,1307448
