Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,6.710000,6.800000,6.700000,6.780000,6.780000,205814302
2018-05-09,6.730000,6.790000,6.690000,6.770000,6.770000,134779210
2018-05-10,6.810000,6.860000,6.750000,6.790000,6.790000,155496393
2018-05-11,6.870000,6.920000,6.820000,6.850000,6.850000,207129245
2018-05-14,6.950000,7.000000,6.910000,6.990000,6.990000,240555126
2018-05-15,7.000000,7.000000,6.850000,6.870000,6.870000,262033843
2018-05-16,6.850000,6.920000,6.810000,6.880000,6.880000,163477985
2018-05-17,6.930000,6.930000,6.750000,6.750000,6.750000,255830736
2018-05-18,6.790000,6.800000,6.730000,6.750000,6.750000,172421470
2018-05-21,6.800000,6.850000,6.710000,6.740000,6.740000,220698745
2018-05-23,6.700000,6.740000,6.630000,6.630000,6.630000,324621402
2018-05-24,6.680000,6.680000,6.600000,6.650000,6.650000,213007193
2018-05-25,6.670000,6.680000,6.600000,6.620000,6.620000,174286047
2018-05-28,6.620000,6.670000,6.600000,6.630000,6.630000,135766666
2018-05-29,6.600000,6.620000,6.510000,6.540000,6.540000,234880421
2018-05-30,6.500000,6.500000,6.380000,6.410000,6.410000,378329536
2018-05-31,6.440000,6.530000,6.370000,6.500000,6.500000,779709106
2018-06-01,6.500000,6.520000,6.440000,6.510000,6.510000,342043337
2018-06-04,6.580000,6.650000,6.530000,6.620000,6.620000,235655385
2018-06-05,6.620000,6.640000,6.560000,6.620000,6.620000,218689546
2018-06-06,6.610000,6.650000,6.600000,6.610000,6.610000,166316258
2018-06-07,6.660000,6.740000,6.630000,6.710000,6.710000,254442544
2018-06-08,6.670000,6.700000,6.550000,6.590000,6.590000,251873968
