Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,67.800003,69.550003,67.800003,69.400002,68.704315,19994983
2018-05-09,70.250000,70.250000,69.250000,69.699997,69.001305,21533283
2018-05-10,70.400002,71.400002,70.000000,71.099998,70.387276,25349584
2018-05-11,72.099998,73.650002,71.800003,72.800003,72.070236,24983061
2018-05-14,75.000000,75.000000,73.599998,74.349998,73.604698,24123797
2018-05-15,75.000000,75.000000,73.099998,73.099998,72.367226,16077640
2018-05-16,72.400002,73.449997,71.349998,72.650002,71.921738,21685307
2018-05-17,72.199997,72.500000,71.699997,71.699997,70.981255,15590218
2018-05-18,72.150002,72.449997,71.099998,72.000000,71.278252,19071004
2018-05-21,72.550003,74.199997,72.500000,74.199997,73.456200,20448813
2018-05-23,72.000000,72.699997,70.349998,70.349998,70.349998,36782359
2018-05-24,70.349998,71.349998,70.300003,70.699997,70.699997,18157818
2018-05-25,71.000000,71.500000,70.500000,70.500000,70.500000,18239433
2018-05-28,72.400002,72.949997,71.550003,72.800003,72.800003,19256712
2018-05-29,71.849998,72.150002,71.150002,71.250000,71.250000,11173402
2018-05-30,70.000000,70.550003,69.849998,70.400002,70.400002,22273208
2018-05-31,71.550003,72.000000,70.199997,72.000000,72.000000,34446735
2018-06-01,72.400002,72.400002,70.800003,70.949997,70.949997,25167087
2018-06-04,72.400002,72.400002,71.650002,71.949997,71.949997,15819882
2018-06-05,72.000000,72.599998,71.800003,72.050003,72.050003,18020541
2018-06-06,72.199997,73.500000,72.000000,73.099998,73.099998,18190425
2018-06-07,74.199997,74.199997,73.050003,73.750000,73.750000,17678176
2018-06-08,73.900002,73.900002,71.500000,71.949997,71.949997,16054164
