Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,114.000000,119.599998,113.300003,117.699997,116.183014,11801306
2018-05-09,118.599998,119.000000,115.300003,117.500000,115.985596,5641488
2018-05-10,119.000000,122.400002,117.000000,119.500000,117.959816,7385404
2018-05-11,122.000000,124.000000,120.500000,121.699997,120.131462,5698771
2018-05-14,127.000000,128.500000,113.599998,115.800003,114.307510,19942775
2018-05-15,110.000000,111.500000,108.000000,110.099998,108.680969,19776395
2018-05-16,110.000000,113.300003,109.099998,112.800003,111.346176,11141939
2018-05-17,114.800003,115.000000,112.099998,114.000000,112.530708,6460950
2018-05-18,114.800003,115.400002,111.400002,113.400002,111.938438,5704122
2018-05-21,116.000000,122.199997,116.000000,118.699997,117.170128,10742175
2018-05-23,119.000000,119.300003,114.800003,114.800003,113.320396,7323470
2018-05-24,114.500000,117.599998,114.000000,116.199997,114.702347,5375470
2018-05-25,116.199997,116.400002,112.000000,113.099998,111.642303,8055980
2018-05-28,114.000000,117.199997,113.199997,116.599998,115.097191,5373931
2018-05-29,116.800003,120.699997,115.500000,119.699997,118.157234,6527181
2018-05-30,116.000000,119.000000,114.599998,117.599998,116.084305,5934720
2018-05-31,120.000000,120.400002,115.599998,118.099998,116.577858,7455755
2018-06-01,117.699997,117.699997,115.400002,116.199997,114.702347,6379919
2018-06-04,117.699997,119.400002,116.800003,119.300003,117.762398,4168325
2018-06-05,120.000000,122.000000,118.599998,120.699997,119.144348,5225817
2018-06-06,122.000000,131.899994,122.000000,131.899994,130.199997,19589443
2018-06-07,132.000000,134.600006,129.600006,131.300003,131.300003,9979908
2018-06-08,132.800003,132.800003,127.099998,127.099998,127.099998,8868768
