Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,26.100000,27.400000,26.100000,27.000000,27.000000,19578128
2018-05-09,27.400000,27.549999,26.500000,27.450001,27.450001,14829443
2018-05-10,27.450001,27.700001,27.200001,27.400000,27.400000,6100765
2018-05-11,27.600000,27.900000,27.299999,27.549999,27.549999,7709686
2018-05-14,27.799999,28.049999,27.500000,27.750000,27.750000,16234659
2018-05-15,28.150000,28.150000,26.950001,27.049999,27.049999,21829646
2018-05-16,26.700001,27.600000,26.400000,27.250000,27.250000,12698632
2018-05-17,27.500000,27.850000,27.000000,27.450001,27.450001,10375578
2018-05-18,27.549999,27.600000,26.900000,27.000000,27.000000,7197267
2018-05-21,27.100000,27.250000,26.650000,26.950001,26.950001,13729105
2018-05-23,27.500000,27.650000,26.500000,26.799999,26.799999,10671358
2018-05-24,27.000000,27.100000,26.100000,26.400000,26.400000,10374385
2018-05-25,26.250000,26.700001,26.250000,26.250000,26.250000,17244437
2018-05-28,26.799999,27.200001,26.049999,26.850000,26.850000,14246144
2018-05-29,27.000000,27.400000,26.500000,26.950001,26.950001,13890165
2018-05-30,26.450001,27.250000,26.400000,27.100000,27.100000,13002827
2018-05-31,27.549999,29.100000,27.000000,28.500000,28.500000,42619990
2018-06-01,28.500000,28.500000,27.700001,27.900000,27.900000,11705567
2018-06-04,28.600000,28.700001,28.200001,28.250000,28.250000,14342561
2018-06-05,28.450001,28.600000,28.049999,28.600000,28.600000,6940196
2018-06-06,28.750000,29.000000,28.150000,28.799999,28.799999,11420418
2018-06-07,28.700001,29.750000,28.600000,29.400000,29.400000,13530519
2018-06-08,29.150000,29.450001,28.400000,28.700001,28.700001,8708904
