Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,33.000000,33.750000,32.950001,33.750000,33.750000,1019269
2018-05-09,33.700001,33.900002,33.400002,33.900002,33.900002,1091217
2018-05-10,33.750000,33.950001,33.700001,33.849998,33.849998,651001
2018-05-11,34.200001,34.299999,33.750000,34.250000,34.250000,1460603
2018-05-14,34.200001,34.700001,34.200001,34.650002,34.650002,2284020
2018-05-15,34.200001,34.799999,34.200001,34.250000,34.250000,788491
2018-05-16,33.599998,33.950001,33.200001,33.500000,33.500000,1745823
2018-05-17,33.299999,33.500000,32.750000,33.000000,33.000000,2966875
2018-05-18,32.849998,33.299999,32.849998,33.150002,33.150002,1122686
2018-05-21,33.150002,33.450001,33.000000,33.099998,33.099998,908146
2018-05-23,32.900002,33.200001,32.500000,32.549999,32.549999,1976571
2018-05-24,32.549999,32.849998,32.400002,32.700001,32.700001,1189199
2018-05-25,32.500000,33.349998,32.500000,32.849998,32.849998,1284170
2018-05-28,32.799999,32.900002,32.500000,32.599998,32.599998,512520
2018-05-29,32.599998,32.599998,32.200001,32.200001,32.200001,637217
2018-05-30,31.799999,32.200001,31.650000,32.000000,32.000000,2460530
2018-05-31,32.299999,32.549999,31.799999,32.549999,32.549999,2128167
2018-06-01,32.750000,32.750000,32.000000,32.049999,32.049999,6352794
2018-06-04,32.200001,32.500000,31.850000,32.299999,32.299999,1171359
2018-06-05,32.150002,32.900002,32.150002,32.650002,32.650002,1013169
2018-06-06,32.900002,33.250000,32.349998,33.099998,33.099998,1342242
2018-06-07,33.150002,33.299999,32.950001,33.299999,33.299999,1084286
2018-06-08,32.750000,33.349998,32.549999,32.650002,32.650002,744052
