Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,26.299999,26.700001,26.299999,26.450001,26.450001,8273725
2018-05-09,26.549999,26.900000,26.400000,26.799999,26.799999,11371156
2018-05-10,26.600000,27.000000,26.450001,26.900000,26.900000,12370747
2018-05-11,27.150000,27.299999,26.900000,27.049999,27.049999,13276592
2018-05-14,27.299999,27.750000,27.150000,27.600000,27.600000,13665827
2018-05-15,27.750000,27.750000,27.200001,27.450001,27.450001,8227279
2018-05-16,27.450001,27.600000,26.950001,27.500000,27.500000,6461415
2018-05-17,27.799999,27.799999,26.900000,27.000000,27.000000,8067539
2018-05-18,27.250000,27.600000,27.000000,27.350000,27.350000,7436485
2018-05-21,27.200001,27.549999,26.900000,27.350000,27.350000,9848788
2018-05-23,27.000000,27.049999,26.600000,26.650000,26.650000,13114061
2018-05-24,26.799999,26.799999,26.299999,26.600000,26.600000,9353076
2018-05-25,26.500000,26.750000,26.350000,26.450001,26.450001,6989460
2018-05-28,26.350000,26.900000,26.200001,26.600000,26.600000,6696431
2018-05-29,26.549999,26.549999,26.049999,26.200001,26.200001,9618008
2018-05-30,25.750000,25.850000,25.299999,25.750000,25.750000,15305845
2018-05-31,25.850000,26.250000,25.650000,26.250000,26.250000,22209954
2018-06-01,26.400000,26.600000,26.100000,26.250000,26.250000,11013391
2018-06-04,26.799999,27.299999,26.500000,27.100000,27.100000,19395339
2018-06-05,27.350000,28.549999,26.950001,28.200001,28.200001,33338731
2018-06-06,28.250000,28.799999,28.250000,28.450001,28.450001,18310821
2018-06-07,28.799999,29.000000,28.299999,29.000000,29.000000,27122429
2018-06-08,29.200001,29.200001,28.500000,28.799999,28.799999,20694360
