Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,137.000000,141.899994,136.100006,141.199997,140.481613,8637960
2018-05-09,140.399994,142.399994,138.300003,142.000000,141.277542,5467604
2018-05-10,147.500000,148.399994,141.899994,143.300003,142.570938,9130397
2018-05-11,143.600006,146.000000,141.100006,142.300003,141.576019,5730024
2018-05-14,150.000000,155.000000,148.600006,153.500000,152.719040,16158477
2018-05-15,152.000000,152.800003,146.899994,149.600006,148.838882,7830861
2018-05-16,148.800003,154.699997,147.199997,152.300003,151.525146,6363258
2018-05-17,154.199997,154.199997,150.800003,150.899994,150.132248,3863162
2018-05-18,152.000000,152.000000,145.300003,147.800003,147.048035,5927021
2018-05-21,151.300003,153.500000,149.399994,149.500000,148.739380,3877567
2018-05-23,150.500000,154.000000,149.899994,151.399994,150.629715,4021194
2018-05-24,150.000000,152.199997,149.500000,150.300003,149.535324,2416087
2018-05-25,151.600006,155.000000,149.000000,152.800003,152.022598,4953375
2018-05-28,154.399994,159.800003,154.100006,159.399994,158.589005,7304642
2018-05-29,158.399994,164.000000,157.000000,159.800003,158.986984,6121383
2018-05-30,155.800003,157.000000,152.600006,155.800003,155.007339,4657298
2018-05-31,158.800003,161.300003,156.600006,159.600006,158.788010,7015771
2018-06-01,157.699997,159.300003,154.500000,158.000000,158.000000,3812496
2018-06-04,161.699997,161.699997,157.199997,157.699997,157.699997,4030090
2018-06-05,159.000000,160.699997,157.699997,160.199997,160.199997,4495833
2018-06-06,161.500000,170.899994,161.000000,168.000000,168.000000,9652777
2018-06-07,170.000000,170.000000,165.500000,168.300003,168.300003,4718245
2018-06-08,169.500000,170.800003,166.100006,168.300003,168.300003,5152761
