Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,4.150000,4.200000,4.140000,4.150000,4.150000,240745384
2018-05-09,4.140000,4.170000,4.130000,4.160000,4.160000,139150930
2018-05-10,4.180000,4.200000,4.150000,4.170000,4.170000,172237685
2018-05-11,4.210000,4.240000,4.190000,4.230000,4.230000,273383882
2018-05-14,4.280000,4.300000,4.250000,4.290000,4.290000,274160447
2018-05-15,4.300000,4.300000,4.240000,4.250000,4.250000,183044159
2018-05-16,4.230000,4.260000,4.190000,4.250000,4.250000,188781768
2018-05-17,4.280000,4.280000,4.200000,4.200000,4.200000,218254737
2018-05-18,4.200000,4.240000,4.180000,4.210000,4.210000,158264544
2018-05-21,4.230000,4.270000,4.230000,4.230000,4.230000,245230734
2018-05-23,4.220000,4.230000,4.130000,4.140000,4.140000,565238424
2018-05-24,4.150000,4.160000,4.130000,4.160000,4.160000,283822678
2018-05-25,4.150000,4.180000,4.140000,4.140000,4.140000,275171295
2018-05-28,4.160000,4.190000,4.140000,4.170000,4.170000,228460920
2018-05-29,4.140000,4.160000,4.120000,4.130000,4.130000,290472233
2018-05-30,4.070000,4.110000,4.050000,4.060000,4.060000,474631882
2018-05-31,4.110000,4.130000,4.070000,4.100000,4.100000,484892097
2018-06-01,4.130000,4.150000,4.100000,4.130000,4.130000,540414734
2018-06-04,4.170000,4.200000,4.150000,4.190000,4.190000,279123575
2018-06-05,4.190000,4.210000,4.170000,4.200000,4.200000,237365545
2018-06-06,4.220000,4.220000,4.190000,4.190000,4.190000,166766370
2018-06-07,4.210000,4.260000,4.200000,4.250000,4.250000,311307942
2018-06-08,4.250000,4.250000,4.180000,4.180000,4.180000,216022782
