Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,5.750000,5.790000,5.680000,5.700000,5.700000,132665854
2018-05-09,5.710000,5.990000,5.710000,5.950000,5.950000,286700935
2018-05-10,6.040000,6.170000,6.000000,6.050000,6.050000,263951244
2018-05-11,6.150000,6.150000,6.010000,6.030000,6.030000,144190026
2018-05-14,6.140000,6.140000,6.040000,6.120000,6.120000,113040421
2018-05-15,6.180000,6.190000,6.120000,6.150000,6.150000,100416842
2018-05-16,6.080000,6.140000,6.030000,6.140000,6.140000,79943451
2018-05-17,6.200000,6.200000,6.120000,6.120000,6.120000,144470607
2018-05-18,6.240000,6.550000,6.200000,6.510000,6.510000,382219968
2018-05-21,6.530000,6.550000,6.430000,6.440000,6.440000,136374454
2018-05-23,6.440000,6.440000,6.140000,6.150000,6.150000,204040872
2018-05-24,6.140000,6.300000,6.120000,6.240000,6.240000,133822774
2018-05-25,6.170000,6.200000,6.000000,6.050000,6.050000,209607555
2018-05-28,6.260000,6.450000,6.080000,6.440000,6.440000,466200439
2018-05-29,6.390000,6.500000,6.350000,6.390000,6.390000,231618824
2018-05-30,6.290000,6.360000,6.250000,6.280000,6.280000,154679773
2018-05-31,6.530000,6.530000,6.420000,6.490000,6.490000,222628989
2018-06-01,6.520000,6.520000,6.390000,6.480000,6.480000,190958593
2018-06-04,6.500000,6.530000,6.400000,6.470000,6.470000,108063569
2018-06-05,6.470000,6.470000,6.330000,6.370000,6.370000,114192995
2018-06-06,6.400000,6.580000,6.340000,6.560000,6.560000,157555994
2018-06-07,6.570000,6.660000,6.540000,6.590000,6.590000,154715155
2018-06-08,6.650000,6.740000,6.530000,6.550000,6.550000,192015535
