Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,10.920000,10.920000,10.740000,10.820000,10.757453,18154068
2018-05-09,10.840000,10.840000,10.640000,10.740000,10.677915,14479781
2018-05-10,10.740000,10.760000,10.600000,10.680000,10.618262,10784257
2018-05-11,10.760000,10.980000,10.760000,10.900000,10.836990,21709927
2018-05-14,10.920000,11.000000,10.820000,10.900000,10.836990,19488524
2018-05-15,11.080000,11.280000,11.000000,11.080000,11.015950,31259036
2018-05-16,10.800000,11.160000,10.800000,11.160000,11.160000,33083909
2018-05-17,11.100000,11.380000,11.100000,11.320000,11.320000,49653713
2018-05-18,11.260000,11.440000,11.100000,11.400000,11.400000,52676747
2018-05-21,11.380000,11.440000,11.180000,11.240000,11.240000,29209654
2018-05-23,11.220000,11.220000,10.900000,10.940000,10.940000,32869204
2018-05-24,11.020000,11.280000,10.920000,11.200000,11.200000,27671101
2018-05-25,11.280000,11.280000,11.100000,11.120000,11.120000,18321169
2018-05-28,11.240000,11.260000,10.960000,11.180000,11.180000,17425600
2018-05-29,11.100000,11.100000,10.840000,10.880000,10.880000,19404111
2018-05-30,10.700000,10.720000,10.520000,10.620000,10.620000,37953128
2018-05-31,10.600000,10.760000,10.520000,10.660000,10.660000,35438662
2018-06-01,10.600000,10.760000,10.560000,10.640000,10.640000,22430563
2018-06-04,10.860000,10.900000,10.660000,10.840000,10.840000,15546739
2018-06-05,10.720000,10.920000,10.720000,10.860000,10.860000,16981627
2018-06-06,10.900000,10.900000,10.740000,10.840000,10.840000,18504005
2018-06-07,10.840000,10.960000,10.800000,10.860000,10.860000,25452940
2018-06-08,10.660000,10.800000,10.240000,10.320000,10.320000,56131494
