Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,11.640000,11.860000,11.620000,11.820000,11.820000,6575752
2018-05-09,11.840000,11.880000,11.720000,11.860000,11.860000,5816400
2018-05-10,11.880000,11.940000,11.780000,11.800000,11.800000,4142026
2018-05-11,11.980000,12.000000,11.880000,11.980000,11.980000,7035536
2018-05-14,12.000000,12.100000,11.960000,12.040000,12.040000,9141026
2018-05-15,11.980000,12.020000,11.860000,11.920000,11.920000,4865321
2018-05-16,11.740000,12.020000,11.740000,12.020000,12.020000,7091018
2018-05-17,12.040000,12.040000,11.920000,11.940000,11.940000,7143536
2018-05-18,11.980000,12.000000,11.900000,11.960000,11.960000,4229555
2018-05-21,12.040000,12.140000,11.920000,11.920000,11.920000,5598047
2018-05-23,11.780000,11.900000,11.560000,11.560000,11.560000,11166868
2018-05-24,11.520000,11.680000,11.480000,11.640000,11.640000,6594126
2018-05-25,11.640000,11.700000,11.560000,11.600000,11.600000,3232736
2018-05-28,11.760000,11.760000,11.520000,11.580000,11.580000,2704500
2018-05-29,11.520000,11.580000,11.460000,11.500000,11.500000,5594363
2018-05-30,11.460000,11.500000,11.100000,11.220000,11.220000,12677295
2018-05-31,11.120000,11.660000,11.120000,11.660000,11.660000,21691469
2018-06-01,11.560000,11.780000,11.540000,11.660000,11.660000,33043108
2018-06-04,11.860000,11.960000,11.720000,11.940000,11.940000,9555286
2018-06-05,11.680000,12.060000,11.680000,12.020000,12.020000,9099369
2018-06-06,12.100000,12.160000,11.960000,12.060000,12.060000,7191301
2018-06-07,12.120000,12.120000,11.980000,12.040000,12.040000,13826879
2018-06-08,12.000000,12.060000,11.760000,11.840000,11.840000,7624892
