Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-08,101,17.980,18.080,18.020,76.91M,4.27M,80.86B,17.960,17.980,1.8061,9.96,4.17%,18.220,17.940,21.800,17.080
2018-06-08,1038,59.400,59.750,60.000,108.73M,1.82M,157.45B,59.400,59.450,4.0705,14.59,4.01%,60.200,59.400,73.800,58.700
2018-06-08,1044,76.750,78.300,76.800,179.94M,2.34M,92.58B,76.750,76.800,3.1488,19.64,3.31%,78.050,76.100,88.700,52.800
2018-06-08,1088,20.850,21.700,21.450,523.53M,24.82M,70.86B,20.850,20.900,2.403,7.00,5.41%,21.500,20.800,25.750,16.380
2018-06-08,1093,24.400,24.900,24.300,991.99M,40.35M,152.32B,24.400,24.450,0.4548,53.65,0.61%,25.200,24.200,26.750,10.940
2018-06-08,1109,31.100,31.450,31.700,368.15M,11.78M,215.55B,31.000,31.100,3.3209,9.36,3.11%,32.050,30.850,34.450,21.050
2018-06-08,1113,66.300,67.250,66.500,478.39M,7.15M,245.14B,66.250,66.300,8.0716,8.21,2.56%,67.200,66.000,75.300,58.750
2018-06-08,11,200.200,201.600,203.000,402.13M,2.00M,382.75B,200.000,200.200,10.4705,19.12,3.40%,203.600,199.300,204.200,159.000
2018-06-08,1299,71.950,73.750,73.900,1.16B,16.05M,868.88B,71.900,71.950,0.51,18.09,1.39%,73.900,71.500,75.000,54.500
2018-06-08,12,45.950,46.100,46.000,205.85M,4.47M,202.23B,45.800,45.950,6.9148,6.65,3.38%,46.500,45.650,50.909,39.046
2018-06-08,1398,6.590,6.710,6.670,1.66B,251.87M,571.97B,6.580,6.590,0.79,6.67,4.57%,6.700,6.550,7.640,4.830
2018-06-08,144,17.220,17.560,17.580,75.82M,4.38M,56.44B,17.220,17.240,1.839,9.36,12.54%,17.580,17.200,26.030,16.960
2018-06-08,151,7.790,8.110,8.000,96.82M,12.33M,96.97B,7.780,7.790,0.2472,25.74,2.49%,8.050,7.730,8.180,5.000
2018-06-08,16,126.900,128.200,127.900,396.69M,3.12M,367.62B,126.800,126.900,14.43,8.79,3.31%,128.200,126.300,139.600,113.500
2018-06-08,175,23.600,23.760,24.000,1.05B,44.42M,211.84B,23.550,23.600,1.1905,16.01,1.23%,24.050,23.500,29.800,13.180
2018-06-08,17,12.100,12.420,12.180,163.42M,13.40M,123.57B,12.100,12.120,0.8035,15.06,3.88%,12.480,12.060,13.000,9.740
2018-06-08,1928,44.750,44.950,45.150,466.16M,10.46M,361.58B,44.600,44.750,0.1986,28.89,4.45%,45.150,44.200,49.350,33.800
2018-06-08,1997,60.400,62.150,61.100,89.27M,1.47M,183.38B,60.400,60.450,5.6709,10.65,1.57%,61.900,60.100,65.150,46.550
2018-06-08,19,83.250,83.200,83.200,108.72M,1.31M,75.35B,83.000,83.250,17.341,4.80,2.52%,83.500,82.600,83.200,71.850
2018-06-08,1,90.050,91.050,90.600,370.71M,4.11M,347.38B,90.000,90.050,9.0987,9.90,3.16%,90.950,89.600,108.900,87.100
2018-06-08,2007,17.240,17.280,17.280,911.06M,53.18M,374.81B,17.220,17.240,1.228,11.33,2.81%,17.300,16.940,19.160,8.370
2018-06-08,2018,127.100,131.300,132.800,1.13B,8.87M,155.31B,127.100,127.300,4.3467,23.37,1.65%,132.800,127.100,185.000,87.850
2018-06-08,2318,78.500,79.550,79.850,3.15B,40.10M,584.63B,78.450,78.500,4.9946,12.69,2.63%,79.850,78.000,98.543,49.596
2018-06-08,2319,28.700,29.400,29.150,250.82M,8.71M,112.71B,28.650,28.700,0.5258,43.62,0.52%,29.450,28.400,29.750,14.500
2018-06-08,2382,168.300,168.300,169.500,868.12M,5.15M,184.62B,168.200,168.300,2.6676,50.93,0.48%,170.800,166.100,171.600,55.650
2018-06-08,2388,39.950,40.350,39.850,277.23M,6.94M,422.38B,39.950,40.000,2.9387,13.59,3.50%,40.200,39.850,42.150,34.216
2018-06-08,23,32.650,33.300,32.750,24.39M,744.05K,91.66B,32.600,32.650,3.21,10.17,3.92%,33.350,32.550,36.000,30.550
2018-06-08,2628,22.800,23.050,23.000,865.96M,37.91M,169.65B,22.750,22.800,1.1411,16.10,2.15%,23.050,22.700,28.200,21.100
2018-06-08,267,11.840,12.040,12.000,90.36M,7.62M,344.42B,11.820,11.840,1.5092,7.85,3.04%,12.060,11.760,12.800,10.700
2018-06-08,27,64.400,64.950,65.000,955.63M,14.89M,278.10B,64.350,64.400,2.4513,26.27,1.15%,65.000,63.700,73.850,43.378
2018-06-08,288,7.880,8.060,8.040,184.28M,23.21M,115.64B,7.880,7.890,0.0779,12.97,3.43%,8.070,7.860,9.900,7.160
2018-06-08,2,81.950,83.150,82.500,131.29M,1.60M,207.04B,81.950,82.100,5.6399,14.53,3.58%,82.700,81.900,85.000,75.050
2018-06-08,3328,6.320,6.440,6.380,152.18M,23.95M,221.27B,6.320,6.330,0.91,5.57,5.63%,6.430,6.310,7.130,5.470
2018-06-08,386,7.470,7.620,7.620,948.50M,125.71M,190.58B,7.460,7.470,0.4233,14.24,8.21%,7.700,7.430,8.350,5.400
2018-06-08,388,260.000,263.400,261.400,1.17B,4.53M,324.15B,259.800,260.000,6.0309,43.11,2.08%,262.800,259.200,306.000,197.600
2018-06-08,3988,4.180,4.250,4.250,907.79M,216.02M,349.54B,4.180,4.190,0.56,5.99,5.25%,4.250,4.180,4.960,3.570
2018-06-08,3,15.480,15.500,15.400,414.26M,26.89M,238.18B,15.460,15.480,0.5345,28.96,2.06%,15.500,15.260,15.800,13.091
2018-06-08,5,76.550,77.250,77.200,881.27M,11.49M,"1,559.51B",76.550,76.600,0.4848,20.24,5.21%,77.200,76.450,86.000,67.550
2018-06-08,66,44.500,44.850,44.650,85.59M,1.92M,267.42B,44.450,44.500,2.8288,15.73,2.52%,44.650,44.350,46.800,40.550
2018-06-08,688,28.800,29.000,29.200,596.21M,20.69M,315.53B,28.750,28.800,3.7209,7.74,2.78%,29.200,28.500,32.200,22.500
2018-06-08,6,55.450,55.950,56.000,183.16M,3.29M,118.34B,55.450,55.500,3.8978,14.23,29.40%,56.150,55.450,67.607,54.000
2018-06-08,700,415.000,429.200,426.600,12.08B,28.93M,"3,944.19B",414.800,415.000,7.5986,44.10,0.21%,426.600,412.600,476.600,260.379
2018-06-08,762,10.320,10.860,10.660,585.96M,56.13M,315.77B,10.320,10.340,0.0744,111.69,0.62%,10.800,10.240,13.240,9.200
2018-06-08,823,73.300,73.650,73.500,333.31M,4.53M,157.59B,73.250,73.300,21.772,3.37,3.41%,74.200,73.000,75.000,58.000
2018-06-08,836,15.720,15.840,15.860,74.96M,4.75M,75.62B,15.700,15.720,0.9678,16.24,5.57%,15.900,15.700,16.340,12.820
2018-06-08,83,14.140,14.140,14.000,112.55M,8.00M,93.36B,14.080,14.140,1.19,11.88,6.93%,14.360,13.940,14.604,12.063
2018-06-08,857,6.550,6.590,6.650,1.27B,192.02M,138.19B,6.540,6.550,0.1246,42.37,2.37%,6.740,6.530,6.660,4.678
2018-06-08,883,13.200,13.460,13.540,1.08B,81.40M,589.34B,13.180,13.200,0.5527,19.16,3.79%,13.560,13.120,14.640,8.450
2018-06-08,939,8.080,8.250,8.250,2.26B,278.29M,"1,942.57B",8.080,8.090,0.969,6.66,4.51%,8.250,8.050,9.390,5.910
2018-06-08,941,71.500,73.200,73.150,1.08B,15.10M,"1,463.99B",71.450,71.500,5.5813,10.32,8.96%,73.200,71.150,86.355,69.600
