Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-07,0101,18.080,18.500,4.092M,18.260,19.200,82.128B,18.080,74.325M,18.400,17.080,16.994M,18.080,18.104,18.120,18.392,982,18.132,"75,688",18.523,18.163,18.398,21.070,16.700,"18,080",50.665,0.020/0.020,-1.202%,9.989/17.553,0.794%,4.148/4.148,-1.514,HKD 1.810,+0.635,HKD 0.750,HKD 30.274
2018-06-07,1038,59.750,59.750,1.711M,59.550,61.800,157.848B,59.350,101.858M,59.600,58.700,20.214M,59.700,59.445,59.750,59.951,940,60.672,"108,359",62.673,59.531,64.818,71.420,58.700,"29,875",44.197,0.050/0.050,-0.167%,14.681/12.794,2.813%,3.983/4.360,-0.059,HKD 4.070,+0.358,HKD 2.380,HKD 39.036
2018-06-07,1044,78.300,78.900,2.775M,78.000,79.150,94.088B,77.550,216.703M,78.400,66.577,36.938M,78.250,74.610,78.300,72.278,1456,72.268,"148,834",73.718,78.091,69.868,87.277,50.261,"39,150",67.828,0.050/0.050,8.149%,20.291/18.575,8.376%,3.322/3.396,0.973,RMB 3.149,+0.519,RMB 2.100,RMB 13.356
2018-06-07,1088,21.700,21.850,20.235M,21.300,22.150,72.390B,21.500,439.466M,21.550,18.520,32.981M,21.650,20.498,21.700,20.588,3190,19.985,"137,764",21.238,21.718,19.775,25.750,15.798,"10,850",57.297,0.050/0.050,7.426%,7.369/7.818,1.812%,5.202/4.902,4.098,RMB 2.403,+1.249,RMB 0.910,RMB 15.362
2018-06-07,1093,24.900,26.100,34.608M,25.650,26.600,160.133B,24.800,869.580M,25.550,20.700,75.931M,24.900,24.965,24.950,23.693,3903,21.960,"222,798",19.889,25.127,15.879,26.600,10.790,"49,800",67.449,0.050/0.050,6.638%,54.749/44.464,3.890%,0.602/0.727,1.706,HKD 0.455,+0.894,HKD 0.150,HKD 2.454
2018-06-07,1109,31.450,31.650,8.480M,31.150,32.100,215.899B,31.000,265.654M,31.000,27.700,56.887M,31.450,29.585,31.500,29.690,1227,29.220,"216,507",29.044,31.327,25.608,34.450,21.050,"62,900",60.726,0.050/0.050,7.705%,9.473/9.077,3.080%,3.075/3.832,2.502,HKD 3.320,+1.223,HKD 0.967,HKD 20.645
2018-06-07,1113,67.250,67.800,5.070M,67.250,68.850,248.657B,66.850,341.128M,67.800,64.220,48.557M,67.150,66.290,67.250,66.664,1749,65.894,"195,042",67.471,67.284,65.179,74.020,57.050,"33,625",56.764,0.050/0.050,0.149%,8.333/10.117,3.293%,2.528/2.825,0.045,HKD 8.070,+0.617,HKD 1.700,HKD 78.851
2018-06-07,0011,201.600,201.600,1.692M,197.700,202.900,377.971B,197.900,338.845M,199.500,192.500,62.298M,201.200,195.580,201.600,196.905,1617,192.242,"209,552",188.232,200.263,179.419,202.900,152.200,"20,160",55.440,0.200/0.200,2.910%,19.573/17.841,12.294%,3.373/3.571,0.237,HKD 10.300,+0.545,HKD 6.700,HKD 79.520
2018-06-07,1299,73.750,74.200,17.678M,73.100,74.256,882.771B,73.050,1.301B,74.200,66.306,408.781M,73.700,71.570,73.750,71.548,5416,69.168,"240,265",66.820,73.594,62.477,74.256,53.500,"14,750",58.408,0.050/0.050,4.314%,18.429/20.886,4.798%,1.356/1.596,0.899,USD 0.510,+1.091,USD 0.128,USD 3.478
2018-06-07,0012,46.100,46.800,4.913M,46.550,48.000,204.879B,46.050,227.105M,46.800,43.336,42.462M,46.050,46.133,46.100,45.607,1198,45.189,"189,570",45.605,46.225,44.319,49.791,37.491,"46,100",59.953,0.050/0.050,1.380%,6.664/12.686,2.837%,3.372/3.421,0.486,HKD 6.918,+0.668,HKD 1.555,HKD 66.600
