Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018-06-07,0101,18.080,18.260,18.400,18.080 x 0,18.120 x 0,18.080 - 18.500,17.080 - 21.800,"4,092,066","3,568,426",81.319B,1.33,9.99,1.810,N/A,0.75 (4.05%),2018-04-30,21.70
2018-06-07,1038,59.750,59.550,59.600,59.700 x 0,59.750 x 0,59.350 - 59.750,58.700 - 73.800,"1,710,715","2,564,668",158.378B,0.12,14.68,4.070,"Jul 18, 2018",2.38 (3.80%),2018-05-14,76.68
2018-06-07,1044,78.300,78.000,78.400,78.250 x 0,78.300 x 0,77.550 - 78.900,52.800 - 88.700,"2,775,281","3,145,108",94.45B,0.59,20.74,3.775,"Mar 20, 2017",2.35 (3.28%),2018-05-21,82.94
2018-06-07,1088,21.700,21.300,21.550,21.650 x 0,21.700 x 0,21.500 - 21.850,16.380 - 25.750,"20,235,157","23,055,313",426.733B,1.32,7.53,2.881,N/A,1.13 (5.12%),2018-06-28,20.54
2018-06-07,1093,24.900,25.650,25.550,24.900 x 0,24.950 x 0,24.800 - 26.100,10.940 - 26.750,"34,607,722","35,673,390",155.451B,0.94,54.75,0.455,"May 23, 2018",0.15 (0.72%),2018-05-30,25.58
2018-06-07,1109,31.450,31.150,31.000,31.450 x 0,31.500 x 0,31.000 - 31.650,21.050 - 34.450,"8,480,229","10,960,635",217.912B,1.54,9.47,3.320,"Mar 20, 2018",0.97 (3.22%),2018-06-13,35.12
2018-06-07,1113,67.250,67.250,67.800,67.150 x 0,67.250 x 0,66.850 - 67.800,58.750 - 75.300,"5,070,202","4,738,120",248.657B,1.48,8.33,8.070,"Aug 1, 2018",1.70 (2.53%),2018-05-15,82.13
2018-06-07,0011,201.600,197.700,199.500,201.200 x 0,201.600 x 0,197.900 - 201.600,159.000 - 204.200,"1,692,225","1,305,643",385.427B,0.54,19.57,10.300,"Jul 30, 2018",6.80 (3.35%),2018-05-17,189.16
2018-06-07,1299,73.750,73.100,74.200,73.700 x 0,73.750 x 0,73.050 - 74.200,54.500 - 75.000,"17,678,176","22,535,252",885.833B,0.97,18.52,3.983,"Jul 26, 2018",1.00 (1.35%),2018-05-23,78.75
2018-06-07,0012,46.100,46.550,46.800,46.050 x 0,46.100 x 0,46.050 - 46.800,39.045 - 50.909,"4,912,750","3,297,656",202.898B,0.80,6.66,6.918,"Aug 20, 2018",3.83 (7.38%),2018-06-05,51.06
2018-06-07,1398,6.710,6.610,6.660,6.700 x 0,6.710 x 0,6.630 - 6.740,4.830 - 7.640,"254,442,544","232,867,332",2.129T,1.30,7.08,0.947,N/A,0.30 (4.47%),2018-07-05,8.64
2018-06-07,0144,17.560,17.670,17.620,17.560 x 0,17.580 x 0,17.500 - 17.800,16.960 - 27.400,"3,870,155","4,967,947",57.555B,1.02,9.55,1.839,N/A,0.81 (4.53%),2018-06-07,24.33
2018-06-07,0151,8.110,7.900,8.100,8.100 x 0,8.110 x 0,7.900 - 8.180,5.000 - 8.180,"18,691,984","16,771,442",100.964B,0.76,21.00,0.386,N/A,0.07 (1.15%),2017-12-04,7.15
2018-06-07,0016,128.200,127.800,128.300,128.200 x 0,128.300 x 0,127.800 - 128.800,113.500 - 139.600,"2,073,350","3,189,401",371.395B,0.93,11.34,11.310,N/A,2.40 (1.95%),2018-03-12,152.71
2018-06-07,0175,24.050,23.250,23.600,24.000 x 0,24.050 x 0,23.600 - 24.200,13.700 - 29.800,"71,570,315","47,426,760",215.883B,1.34,16.86,N/A,"Aug 14, 2018",0.29 (1.24%),2018-06-08,30.83
2018-06-07,0017,12.420,12.280,12.300,12.420 x 0,12.440 x 0,12.200 - 12.420,9.740 - 13.000,"18,170,632","12,334,033",126.84B,1.30,13.07,0.950,N/A,0.28 (2.45%),2018-03-16,13.70
2018-06-07,1928,44.950,44.950,45.200,44.900 x 0,44.950 x 0,44.600 - 45.350,33.800 - 49.350,"18,118,384","12,106,497",363.138B,0.94,28.97,1.552,"May 3, 2018",1.00 (2.11%),2018-05-31,49.42
2018-06-07,1997,62.150,62.650,63.250,62.100 x 0,62.150 x 0,61.350 - 63.250,46.550 - 65.150,"1,942,535","2,569,920",188.702B,N/A,10.96,5.670,N/A,1.90 (3.18%),2018-04-06,62.08
2018-06-07,0019,83.200,82.450,82.800,83.200 x 0,83.250 x 0,82.300 - 83.200,71.850 - 83.200,"1,560,845","1,369,335",117.037B,0.65,4.80,17.340,N/A,4.30 (5.70%),2018-04-11,92.34
2018-06-07,0001,91.050,90.350,90.650,91.050 x 0,91.100 x 0,90.650 - 91.450,87.100 - 108.900,"5,296,475","4,978,715",351.242B,0.84,10.01,9.100,"Aug 1, 2018",2.85 (3.06%),2018-05-15,124.62
2018-06-07,2007,17.280,17.220,17.420,17.260 x 0,17.280 x 0,17.200 - 17.460,8.370 - 19.160,"40,050,337","50,187,336",373.822B,1.21,11.74,1.472,"Aug 20, 2018",0.49 (2.96%),2018-05-21,18.27
2018-06-07,2018,131.300,130.200,132.000,131.200 x 0,131.300 x 0,129.600 - 134.600,93.500 - 185.000,"9,979,908","6,961,138",160.449B,-0.08,25.18,5.215,"Aug 23, 2018",2.10 (1.86%),2018-06-07,152.69
2018-06-07,2318,79.550,77.873,78.850,79.550 x 0,79.600 x 0,78.750 - 80.450,49.900 - 98.850,"68,834,897","52,740,790",1.582T,1.59,13.30,5.983,N/A,1.59 (2.02%),2018-06-07,102.95
2018-06-07,2319,29.400,28.800,28.700,29.400 x 0,29.450 x 0,28.600 - 29.750,14.500 - 29.750,"13,530,519","16,056,265",115.464B,0.82,46.62,0.631,"Aug 28, 2018",0.15 (0.57%),2018-05-08,29.46
2018-06-07,2382,168.300,168.000,170.000,168.200 x 0,168.300 x 0,165.500 - 170.000,61.600 - 171.600,"4,718,245","7,492,111",183.605B,1.33,52.62,3.198,"Aug 13, 2018",0.81 (0.54%),2018-06-01,145.67
2018-06-07,2388,40.350,39.800,39.950,40.300 x 0,40.350 x 0,39.650 - 40.400,34.300 - 42.150,"8,836,470","8,675,187",426.612B,1.04,13.73,2.939,"Aug 28, 2018",1.30 (3.17%),2018-06-29,45.87
2018-06-07,0023,33.300,33.100,33.150,33.250 x 0,33.300 x 0,32.950 - 33.300,30.550 - 36.000,"1,084,286","1,493,400",93.495B,1.04,10.37,3.210,"Aug 23, 2018",1.28 (3.87%),2018-03-08,29.46
2018-06-07,2628,23.050,22.800,23.000,23.000 x 0,23.050 x 0,22.900 - 23.200,21.100 - 28.200,"35,240,806","34,901,488",854.708B,1.29,17.01,1.355,N/A,0.50 (2.18%),2018-06-13,29.96
2018-06-07,0267,12.040,12.060,12.120,12.020 x 0,12.040 x 0,11.980 - 12.120,10.700 - 12.800,"13,826,879","7,698,111",350.247B,0.77,7.97,1.510,N/A,0.36 (2.99%),2018-06-19,12.45
2018-06-07,0027,64.950,65.900,66.200,64.950 x 0,65.000 x 0,64.550 - 66.250,43.900 - 73.850,"16,794,971","10,906,549",280.477B,1.21,26.50,2.451,"Aug 27, 2018",N/A (N/A),2018-03-23,78.78
2018-06-07,0288,8.060,7.910,8.090,8.050 x 0,8.060 x 0,8.010 - 8.130,7.160 - 9.900,"31,455,765","31,787,211",118.193B,1.04,N/A,N/A,N/A,0.27 (3.46%),2018-06-07,10.51
2018-06-07,0002,83.150,82.200,82.400,83.100 x 0,83.150 x 0,82.050 - 83.150,75.050 - 84.950,"3,457,467","2,486,331",210.074B,0.23,14.74,5.640,"Aug 6, 2018",2.44 (3.02%),2018-06-04,83.51
2018-06-07,3328,6.440,6.320,6.330,6.440 x 0,6.450 x 0,6.300 - 6.470,5.470 - 7.130,"61,444,690","27,375,779",466.253B,1.25,5.90,1.091,N/A,0.36 (5.59%),2018-06-25,7.12
2018-06-07,0386,7.620,7.550,7.620,7.620 x 0,7.630 x 0,7.500 - 7.630,5.400 - 8.350,"112,253,818","143,081,564",823.227B,1.21,15.03,0.507,N/A,0.61 (8.29%),2018-05-25,8.80
2018-06-07,0388,263.400,258.600,261.200,263.200 x 0,263.400 x 0,260.800 - 265.400,197.600 - 306.000,"9,786,650","6,029,910",327.601B,1.42,43.68,6.030,"Aug 7, 2018",5.70 (2.17%),2018-04-27,316.49
