Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-06,1928,44.950,45.150,19.675M,45.250,47.600,365.611B,N/A,879.000M,45.150,44.300,204.311M,44.900,46.090,44.950,45.960,4553,43.964,"193,060",43.513,44.676,38.507,47.600,31.810,"17,980",49.337,0.050/0.050,-2.389%,28.843/23.381,4.484%,4.427/4.522,-0.533,USD 0.199,+0.892,USD 0.254,USD 0.562
2018-06-06,1997,62.650,63.250,2.312M,62.600,65.150,190.068B,61.550,144.559M,62.600,56.350,15.760M,62.650,60.520,62.700,60.603,858,56.618,"168,484",54.281,62.526,N/A,65.150,45.600,"62,650",61.484,0.050/0.050,6.729%,11.049/21.094,3.937%,/3.081,1.709,HKD 5.670,N/A,HKD 0.950,HKD 68.281
2018-06-06,0019,82.450,82.450,1.568M,81.550,82.500,73.820B,81.750,128.780M,82.000,74.900,41.794M,82.350,79.955,82.450,79.318,853,78.506,"150,973",77.584,82.130,76.187,82.500,70.750,"41,225",62.645,0.050/0.050,4.632%,4.755/--,2.288%,2.547/--,2.024,HKD 17.340,+0.441,HKD 2.100,HKD 168.470
2018-06-06,0001,90.350,90.500,6.684M,89.750,91.600,346.227B,89.800,601.982M,90.100,87.100,38.293M,90.250,88.935,90.350,89.298,1588,90.262,"379,082",94.135,90.063,96.072,106.050,87.100,"45,175",50.991,0.050/0.050,2.322%,9.929/9.131,3.628%,3.154/3.275,0.640,HKD 9.100,+0.519,HKD 2.850,HKD 111.481
2018-06-06,2007,17.220,N/A,63.547M,17.000,17.080,369.596B,17.000,1.095B,17.080,14.920,289.569M,17.200,15.880,17.220,16.018,6965,15.853,"157,165",15.555,17.231,12.857,18.853,7.885,"17,220",64.709,0.020/0.020,8.987%,11.466/10.130,2.761%,2.828/3.430,3.255,RMB 1.228,+1.711,RMB 0.400,RMB 4.402
2018-06-06,2018,131.900,N/A,19.589M,120.700,128.500,147.495B,122.000,2.521B,122.000,107.600,392.538M,131.700,117.230,131.900,116.675,8604,126.156,"292,966",136.344,128.695,132.155,185.000,93.650,"65,950",51.999,0.100/0.100,14.895%,24.793/18.190,20.682%,1.592/1.929,0.720,RMB 4.350,+1.446,RMB 1.681,RMB 14.362
2018-06-06,2318,79.350,80.200,32.582M,79.500,80.350,592.082B,79.150,2.591B,80.200,73.700,629.272M,79.350,77.790,79.400,77.953,5731,79.860,"452,049",83.477,79.522,72.004,98.850,48.683,"39,675",55.319,0.050/0.050,1.992%,13.002/13.055,12.687%,2.658/2.303,0.157,RMB 4.990,+1.472,RMB 1.500,RMB 25.894
2018-06-06,2319,28.800,29.000,11.420M,28.600,29.100,112.323B,28.150,327.217M,28.750,25.402,26.223M,28.800,27.360,28.850,27.323,1772,26.783,"184,660",25.911,28.653,21.562,29.100,14.352,"28,800",61.679,0.050/0.050,7.463%,44.769/28.509,4.253%,0.520/0.811,1.755,RMB 0.526,+0.759,RMB 0.120,RMB 5.756
2018-06-06,2382,168.000,N/A,9.653M,160.200,163.188,175.739B,161.000,1.612B,161.500,126.788,174.631M,167.800,155.932,168.000,151.180,9140,146.663,"176,378",133.823,166.995,116.414,170.788,61.688,"16,800",62.913,0.100/0.100,11.563%,51.495/35.377,25.506%,0.483/0.737,0.453,RMB 2.668,+1.730,RMB 0.661,RMB 6.826
2018-06-06,2388,39.800,40.000,7.382M,39.850,41.200,421.325B,39.400,292.759M,40.000,38.700,14.451M,39.750,39.690,39.800,40.145,2189,39.333,"133,741",39.523,39.658,38.317,42.150,33.035,"19,900",50.543,0.050/0.050,-0.375%,13.543/12.675,1.763%,3.513/3.668,-0.213,HKD 2.939,+0.732,HKD 1.398,HKD 22.959
