Date,Symbol,Nominal price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta,PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
2018/6/6,101,18.26,18.14,18.3,18.240 x 0,18.260 x 0,18.140 - 18.380,17.080 - 21.800,"3,312,172","3,539,819",82.128B,1.33,10.09,1.81,N/A,0.75 (4.05%),2018/4/30,21.7
2018/6/6,1038,59.55,59.2,59.6,59.450 x 0,59.550 x 0,59.350 - 59.600,58.700 - 73.800,"1,372,794","2,577,715",157.848B,0.12,14.63,4.07,18-Jul-18,2.38 (3.75%),2018/5/14,76.68
2018/6/6,1044,78,78.5,79,78.000 x 0,78.050 x 0,77.400 - 79.150,52.800 - 88.700,"3,048,748","3,144,536",94.088B,0.59,20.66,3.775,20-Mar-17,2.35 (3.28%),2018/5/21,82.94
2018/6/6,1088,21.3,20.95,21.1,21.300 x 0,21.350 x 0,21.000 - 21.650,16.380 - 25.750,"22,175,921","22,999,498",418.13B,1.13,7.39,2.881,N/A,1.13 (5.79%),2018/6/28,20.54
2018/6/6,1093,25.65,26,26,25.600 x 0,25.650 x 0,25.550 - 26.550,10.940 - 26.750,"28,188,489","35,511,624",160.133B,0.94,56.4,0.455,23-May-18,0.15 (0.72%),2018/5/30,25.58
2018/6/6,1109,31.15,31.6,31.85,31.150 x 0,31.200 x 0,31.100 - 31.850,21.050 - 34.450,"8,233,247","11,069,158",215.834B,1.54,9.38,3.32,20-Mar-18,0.97 (3.22%),2018/6/13,35.12
2018/6/6,1113,67.25,66.95,67.7,67.200 x 0,67.250 x 0,66.950 - 67.700,58.750 - 75.300,"4,020,918","4,756,512",248.657B,1.48,8.33,8.07,1-Aug-18,1.70 (2.53%),2018/5/15,82.13
2018/6/6,11,197.7,196.7,197.9,197.600 x 0,197.700 x 0,196.700 - 199.000,159.000 - 204.200,"1,333,078","1,313,022",377.971B,0.54,19.19,10.3,30-Jul-18,6.80 (3.35%),2018/5/17,189.16
2018/6/6,1299,73.1,72.05,72.2,73.000 x 0,73.100 x 0,72.000 - 73.500,54.500 - 75.000,"18,190,425","22,615,651",878.026B,0.97,18.35,3.983,26-Jul-18,1.00 (1.35%),2018/5/23,78.77
2018/6/6,12,46.55,46.95,46.95,46.500 x 0,46.550 x 0,46.450 - 47.000,39.045 - 50.909,"4,673,649","3,250,908",186.254B,0.8,6.73,6.918,20-Aug-18,3.83 (7.38%),2018/6/5,51.06
2018/6/6,1398,6.61,6.62,6.61,6.610 x 0,6.620 x 0,6.600 - 6.650,4.830 - 7.640,"166,316,258","236,141,264",2.118T,1.3,6.98,0.947,N/A,0.30 (4.47%),2018/7/5,8.64
2018/6/6,144,18.26,18.14,18.2,18.260 x 0,18.300 x 0,18.100 - 18.360,16.960 - 27.400,"4,213,190","5,000,659",59.849B,1.02,9.93,1.839,N/A,0.81 (4.53%),2018/6/7,24.33
2018/6/6,151,7.9,7.43,7.52,7.890 x 0,7.900 x 0,7.520 - 8.140,5.000 - 8.140,"44,132,275","16,335,666",98.349B,0.76,N/A,0,N/A,0.07 (1.15%),2017/12/4,6.8
2018/6/6,16,127.8,126.7,126.5,127.700 x 0,127.800 x 0,126.500 - 128.600,113.500 - 139.600,"2,124,755","3,202,472",370.234B,0.93,11.3,11.31,N/A,2.40 (1.95%),2018/3/12,152.71
2018/6/6,175,23.25,23.35,23.4,23.200 x 0,23.250 x 0,23.000 - 23.500,13.180 - 29.800,"34,480,808","47,357,380",208.7B,1.34,16.3,1.427,14-Aug-18,0.29 (1.24%),2018/6/8,30.86
2018/6/6,17,12.28,12.28,12.3,12.260 x 0,12.280 x 0,12.180 - 12.300,9.740 - 13.000,"11,217,866","12,343,988",125.411B,1.26,12.93,0.95,N/A,0.28 (2.48%),2018/3/16,13.7
2018/6/6,1928,44.95,45.25,45.15,44.900 x 0,44.950 x 0,44.000 - 45.150,33.800 - 49.350,"19,674,983","12,050,801",363.138B,0.94,28.97,1.552,3-May-18,1.00 (2.11%),2018/5/31,49.43
2018/6/6,1997,62.65,62.6,62.6,62.650 x 0,62.700 x 0,61.550 - 63.250,46.550 - 65.150,"2,311,815","2,568,083",190.22B,N/A,11.05,5.67,N/A,1.90 (3.18%),2018/4/6,62.42
2018/6/6,19,82.45,81.55,82,82.350 x 0,82.450 x 0,81.750 - 82.450,71.850 - 82.550,"1,568,157","1,360,782",115.444B,0.65,4.75,17.34,N/A,4.30 (5.70%),2018/4/11,92.34
2018/6/6,1,90.35,89.75,90.1,90.250 x 0,90.350 x 0,89.800 - 90.500,87.100 - 108.900,"6,684,071","4,946,273",348.541B,0.84,9.93,9.1,1-Aug-18,2.85 (3.06%),2018/5/15,124.62
2018/6/6,2007,17.22,17,17.08,17.200 x 0,17.220 x 0,17.000 - 17.340,8.370 - 19.160,"63,547,046","50,084,289",372.524B,1.21,11.7,1.472,20-Aug-18,0.49 (2.96%),2018/5/21,18.27
2018/6/6,2018,131.9,120.7,122,131.700 x 0,131.900 x 0,122.000 - 131.900,87.850 - 185.000,"19,589,443","6,737,283",161.182B,-0.08,25.29,5.215,23-Aug-18,2.10 (1.46%),2018/6/7,152.69
2018/6/6,2318,79.35,79.5,80.2,79.350 x 0,79.400 x 0,79.150 - 80.200,49.900 - 98.850,"32,581,664","52,906,306",1.57T,1.59,13.26,5.983,N/A,1.59 (2.00%),2018/6/7,102.95
2018/6/6,2319,28.8,28.6,28.75,28.800 x 0,28.850 x 0,28.150 - 29.000,14.500 - 29.100,"11,420,418","16,098,661",113.108B,0.82,45.67,0.631,28-Aug-18,0.15 (0.57%),2018/5/8,29.46
2018/6/6,2382,168,160.2,161.5,167.800 x 0,168.000 x 0,161.000 - 170.900,58.400 - 171.600,"9,652,777","7,415,874",183.278B,1.33,52.53,3.198,13-Aug-18,0.81 (0.53%),2018/6/1,180.25
2018/6/6,2388,39.8,39.85,40,39.750 x 0,39.800 x 0,39.400 - 40.000,34.300 - 42.150,"7,381,659","8,754,678",420.797B,1.04,13.54,2.939,28-Aug-18,1.30 (3.17%),2018/6/29,45.87
2018/6/6,23,33.1,32.65,32.9,33.050 x 0,33.100 x 0,32.350 - 33.250,30.550 - 36.000,"1,342,242","1,493,283",92.933B,1.04,10.31,3.21,23-Aug-18,1.28 (3.87%),2018/3/8,29.46
2018/6/6,2628,22.8,22.8,22.85,22.800 x 0,22.850 x 0,22.800 - 23.000,21.100 - 28.200,"33,626,965","35,227,321",858.349B,1.29,31.09,0.733,N/A,0.50 (2.18%),2018/6/13,29.96
2018/6/6,267,12.06,12.02,12.1,12.040 x 0,12.060 x 0,11.960 - 12.160,10.700 - 12.800,"7,191,301","7,731,993",350.829B,0.77,7.99,1.51,N/A,0.36 (2.99%),2018/6/19,12.45
2018/6/6,27,65.9,65.15,65.4,65.850 x 0,65.900 x 0,64.100 - 65.950,43.900 - 73.850,"25,042,603","10,639,107",284.58B,1.21,26.89,2.451,27-Aug-18,N/A (N/A),2018/3/23,78.78
2018/6/6,288,8.13,8.18,8.18,8.130 x 0,8.150 x 0,8.130 - 8.290,7.160 - 9.900,"33,725,272","31,866,671",119.22B,1.04,N/A,N/A,N/A,0.27 (3.46%),2018/6/7,10.51
2018/6/6,2,82.2,82.05,82.25,82.150 x 0,82.200 x 0,81.800 - 82.650,75.050 - 85.000,"2,361,675","2,483,682",207.674B,0.23,14.57,5.64,6-Aug-18,4.56 (5.54%),2018/3/9,83.08
2018/6/6,3328,6.32,6.28,6.26,6.320 x 0,6.330 x 0,6.260 - 6.340,5.470 - 7.130,"18,249,550","27,637,716",459.815B,1.25,5.79,1.091,N/A,0.36 (5.59%),2018/6/25,7.12
2018/6/6,386,7.55,7.59,7.5,7.550 x 0,7.560 x 0,7.500 - 7.670,5.400 - 8.350,"95,342,009","144,475,516",849.352B,1.21,14.89,0.507,N/A,0.61 (8.29%),2018/5/25,8.8
2018/6/6,388,258.6,258,258,258.400 x 0,258.600 x 0,257.400 - 260.400,197.600 - 306.000,"3,560,059","6,090,501",321.631B,1.42,42.89,6.03,7-Aug-18,5.70 (2.17%),2018/4/27,316.49
2018/6/6,3988,4.19,4.2,4.22,4.190 x 0,4.200 x 0,4.190 - 4.220,3.570 - 4.960,"166,766,370","294,560,516",1.42T,1.35,6.98,0.671,N/A,0.22 (5.23%),2018/7/5,4.32
2018/6/6,3,17.34,17.28,17.3,17.320 x 0,17.340 x 0,17.280 - 17.380,14.400 - 17.380,"22,559,909","13,223,618",242.545B,0.51,29.49,0.588,20-Aug-18,0.35 (2.16%),2018/6/8,14.15
2018/6/6,5,76.5,76.5,76.2,76.450 x 0,76.500 x 0,76.200 - 76.750,67.550 - 86.000,"13,477,813","18,368,815",1.542T,0.92,20.4,3.751,N/A,3.99 (5.18%),2018/2/22,86.38
2018/6/6,66,44.6,44.35,44.35,44.550 x 0,44.600 x 0,44.350 - 44.600,40.550 - 46.800,"2,298,355","4,003,250",267.999B,0.47,25.63,1.74,7-Aug-18,1.12 (2.46%),2018/5/18,45.16
2018/6/6,688,28.45,28.2,28.25,28.400 x 0,28.450 x 0,28.250 - 28.800,22.500 - 32.200,"18,310,821","14,237,465",311.704B,1.38,7.65,3.72,20-Aug-18,0.80 (3.11%),2018/6/13,33.38
2018/6/6,6,55.25,54.7,54.95,55.200 x 0,55.250 x 0,54.700 - 55.300,54.000 - 78.800,"3,630,567","6,258,118",117.918B,0.52,14.17,3.9,18-Jul-18,N/A (N/A),2018/5/14,65.91
2018/6/6,700,425,420,421.2,424.800 x 0,425.000 x 0,420.800 - 425.000,260.400 - 476.600,"23,218,762","29,444,249",4.009T,1.1,46.66,9.109,14-Aug-18,0.88 (0.22%),2018/5/18,527.57
2018/6/6,762,10.84,10.86,10.9,10.840 x 0,10.860 x 0,10.740 - 10.900,9.200 - 13.240,"18,504,005","33,297,084",331.683B,0.92,129.17,0.084,14-Aug-18,0.06 (0.57%),2018/5/16,13.81
2018/6/6,823,72.4,72.9,73.2,72.400 x 0,72.450 x 0,72.150 - 73.300,58.000 - 75.000,"5,322,527","4,240,005",155.664B,0.47,9.13,7.93,6-Jun-18,2.43 (3.65%),2017/11/21,73.92
2018/6/6,836,15.88,15.62,15.62,15.880 x 0,15.900 x 0,15.620 - 16.000,12.820 - 16.340,"6,209,787","8,453,230",76.39B,0.82,16.37,0.97,14-Aug-18,0.88 (5.69%),2018/6/15,17.22
2018/6/6,83,14,14.14,14.26,14.000 x 0,14.020 x 0,13.820 - 14.280,12.440 - 15.060,"7,807,633","4,650,875",92.443B,0.78,11.76,1.19,22-Aug-18,0.53 (3.89%),2018/3/13,15.67
2018/6/6,857,6.56,6.37,6.4,6.550 x 0,6.560 x 0,6.340 - 6.580,4.720 - 6.660,"157,555,994","148,288,571",1.784T,1,147.58,0.144,N/A,0.07 (1.05%),2018/6/13,7.54
2018/6/6,883,13.66,13.6,13.54,13.640 x 0,13.660 x 0,13.460 - 13.760,8.450 - 14.640,"66,830,757","74,852,957",609.885B,0.72,"1,229.30",0.659,22-Aug-18,0.50 (3.58%),2018/6/7,15.66
2018/6/6,939,8.14,8.15,8.18,8.140 x 0,8.150 x 0,8.110 - 8.200,5.910 - 9.390,"236,393,257","302,991,539",2.493T,1.21,7.07,1.151,N/A,0.36 (4.44%),2018/7/9,10.58
2018/6/6,941,72.55,72.3,72.7,72.550 x 0,72.600 x 0,72.500 - 72.950,69.600 - 89.600,"9,957,862","15,496,907",1.485T,0.6,10.84,6.69,8-Aug-18,3.21 (4.35%),2018/5/24,93.78
