Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-07,0101,18.08,18.40,18.50,18.08,81.68B,10.01,4.15%,18.26,21.80,17.08
2018-06-07,1038,59.75,59.60,59.75,59.35,159.32B,14.68,3.98%,59.55,73.80,58.70
2018-06-07,1044,78.30,78.40,78.90,77.55,92.22B,20.54,3.24%,78.00,88.70,52.80
2018-06-07,1088,21.70,21.55,21.85,21.50,-,7.49,5.21%,21.30,25.75,16.38
2018-06-07,1093,24.90,25.55,26.10,24.80,152.77B,49.83,0.60%,25.65,26.75,10.94
2018-06-07,1109,31.45,31.00,31.65,31.00,210.74B,9.47,3.07%,31.15,34.45,21.05
2018-06-07,1113,67.25,67.80,67.80,66.85,247.37B,8.33,2.53%,67.25,75.30,58.75
2018-06-07,0011,201.60,199.50,201.60,197.90,383.48B,19.57,3.37%,197.70,204.20,159.00
2018-06-07,1299,73.75,74.20,74.20,73.05,889.42B,18.49,1.36%,73.10,75.00,54.50
2018-06-07,0012,46.10,46.80,46.80,46.05,206.66B,6.67,3.37%,46.55,50.91,39.05
2018-06-07,1398,6.71,6.66,6.74,6.63,-,6.85,4.49%,6.61,7.64,4.83
2018-06-07,0144,17.56,17.62,17.80,17.50,57.30B,9.51,4.61%,17.67,27.40,16.96
2018-06-07,0151,8.11,8.10,8.18,7.90,106.27B,-,1.49%,7.90,8.18,5.00
2018-06-07,0016,128.20,128.30,128.80,127.80,372.87B,6.86,3.28%,127.80,139.60,113.50
2018-06-07,0175,24.05,23.60,24.20,23.60,214.49B,16.92,1.21%,23.25,29.80,13.18
2018-06-07,0017,12.42,12.30,12.42,12.20,126.63B,8.35,3.78%,12.28,13.00,9.74
2018-06-07,1928,44.95,45.20,45.35,44.60,363.15B,28.85,4.43%,44.95,49.35,33.80
2018-06-07,1997,62.15,63.25,63.25,61.35,187.50B,10.96,1.53%,62.65,65.15,46.55
2018-06-07,0019,83.20,82.80,83.20,82.30,115.33B,4.86,2.52%,82.45,83.20,71.85
2018-06-07,0001,91.05,90.65,91.45,90.65,351.26B,10.01,3.13%,90.35,108.90,87.10
2018-06-07,2007,17.28,17.42,17.46,17.20,363.76B,11.47,2.80%,17.22,19.16,8.37
2018-06-07,2018,131.30,132.00,134.60,129.60,158.59B,24.32,1.60%,130.20,185.00,87.85
2018-06-07,2318,79.55,78.85,80.45,78.75,-,12.64,2.28%,77.87,98.85,49.85
2018-06-07,2319,29.40,28.70,29.75,28.60,114.06B,45.66,0.50%,28.80,29.75,14.50
2018-06-07,2382,168.30,170.00,170.00,165.50,181.75B,51.79,0.48%,168.00,171.60,55.65
2018-06-07,2388,40.35,39.95,40.40,39.65,421.81B,14.98,3.23%,39.80,42.15,34.30
2018-06-07,0023,33.30,33.15,33.30,32.95,92.50B,19.78,3.84%,33.10,36.00,30.55
2018-06-07,2628,23.05,23.00,23.20,22.90,-,16.49,2.15%,22.80,28.20,21.10
2018-06-07,0267,12.04,12.12,12.12,11.98,347.93B,7.98,2.99%,12.06,12.80,10.70
2018-06-07,0027,64.95,66.20,66.25,64.55,287.57B,26.65,-,65.90,73.85,43.90
2018-06-07,0288,8.06,8.09,8.13,8.01,119.01B,13.47,3.35%,7.91,9.90,7.16
2018-06-07,0002,83.15,82.40,83.15,82.05,210.47B,14.74,3.52%,82.20,85.00,75.05
2018-06-07,3328,6.44,6.33,6.47,6.30,-,5.78,5.54%,6.32,7.13,5.47
2018-06-07,0386,7.62,7.62,7.63,7.50,-,-,3.92%,7.55,8.35,5.40
2018-06-07,0388,263.40,261.20,265.40,260.80,326.33B,39.41,2.05%,258.60,306.00,197.60
2018-06-07,3988,4.25,4.21,4.26,4.20,-,7.53,4.14%,4.19,4.96,3.57
2018-06-07,0003,17.28,17.34,17.38,17.18,240.04B,29.39,2.03%,17.34,17.38,14.40
2018-06-07,0005,77.25,76.85,77.45,76.75,-,18.33,5.15%,76.50,86.00,67.55
2018-06-07,0066,44.85,44.60,44.90,44.55,267.98B,15.90,2.50%,44.60,46.80,40.55
2018-06-07,0688,29.00,28.80,29.00,28.30,305.35B,7.79,2.76%,28.45,32.20,22.50
2018-06-07,0006,55.95,55.50,55.95,55.40,119.74B,14.35,5.00%,55.25,78.80,54.00
2018-06-07,0700,429.20,431.00,431.60,425.80,4.03T,41.65,0.21%,425.00,476.60,260.40
2018-06-07,0762,10.86,10.84,10.96,10.80,331.70B,51.73,0.59%,10.84,13.24,9.20
2018-06-07,0823,73.65,72.85,73.85,72.85,157.27B,6.84,3.23%,72.40,75.00,58.00
2018-06-07,0836,15.84,15.90,15.98,15.74,76.20B,16.37,5.52%,15.88,16.34,12.82
2018-06-07,0083,14.14,14.18,14.18,13.82,92.18B,6.23,3.75%,14.00,15.06,12.44
2018-06-07,0857,6.59,6.57,6.66,6.54,-,42.28,1.97%,6.56,6.66,4.72
2018-06-07,0883,13.46,13.52,13.60,13.38,600.98B,19.88,3.71%,13.36,14.64,8.45
2018-06-07,0939,8.25,8.23,8.28,8.17,-,6.85,4.41%,8.14,9.39,5.91
2018-06-07,0941,73.20,72.70,73.50,72.65,1.49T,10.71,4.38%,72.55,89.60,69.60
