Date,Symbol,Nominal Price,Prev close,Open,Turnover,Volume,Mkt cap,Bid,Ask,EPS(RMB),P/E ratio,Div yield,High,Low,52-wk high,52-wk low
2018-06-07,101,18.080,18.260,18.400,74.32M,4.09M,81.31B,18.080,18.120,1.8061,10.01,4.15%,18.500,18.080,21.800,17.080
2018-06-07,1038,59.750,59.550,59.600,101.85M,1.71M,158.37B,59.700,59.750,4.0705,14.68,3.98%,59.750,59.350,73.800,58.700
2018-06-07,1044,78.300,78.000,78.400,216.70M,2.78M,94.45B,78.250,78.300,3.1488,20.04,3.24%,78.900,77.550,88.700,52.800
2018-06-07,1088,21.700,21.300,21.550,439.46M,20.24M,73.74B,21.650,21.700,2.403,7.29,5.20%,21.850,21.500,25.750,16.380
2018-06-07,1093,24.900,25.650,25.550,869.57M,34.61M,155.45B,24.900,24.950,0.4548,54.75,0.60%,26.100,24.800,26.750,10.940
2018-06-07,1109,31.450,31.150,31.000,265.65M,8.48M,217.97B,31.450,31.500,3.3209,9.47,3.07%,31.650,31.000,34.450,21.050
2018-06-07,1113,67.250,67.250,67.800,341.12M,5.07M,248.65B,67.150,67.250,8.0716,8.33,2.53%,67.800,66.850,75.300,58.750
2018-06-07,11,201.600,197.700,199.500,338.84M,1.69M,385.42B,201.200,201.600,10.4705,19.25,3.37%,201.600,197.900,204.200,159.000
2018-06-07,1299,73.750,73.100,74.200,1.30B,17.68M,890.61B,73.700,73.750,0.51,18.54,1.36%,74.200,73.050,75.000,54.500
2018-06-07,12,46.100,46.550,46.800,227.10M,4.91M,202.89B,46.050,46.100,6.9148,6.67,3.37%,46.800,46.050,50.909,39.046
2018-06-07,1398,6.710,6.610,6.660,1.70B,254.44M,582.38B,6.700,6.710,0.79,6.79,4.49%,6.740,6.630,7.640,4.830
2018-06-07,144,17.560,17.670,17.620,68.19M,3.87M,57.55B,17.560,17.580,1.839,9.55,12.30%,17.800,17.500,26.030,16.960
2018-06-07,151,8.110,7.900,8.100,150.34M,18.69M,100.96B,8.100,8.110,0.2472,26.79,2.39%,8.180,7.900,8.140,5.000
2018-06-07,16,128.200,127.800,128.300,265.88M,2.07M,371.39B,128.200,128.300,14.43,8.88,3.28%,128.800,127.800,139.600,113.500
2018-06-07,175,24.050,23.250,23.600,1.71B,71.57M,215.88B,24.000,24.050,1.1905,16.31,1.21%,24.200,23.600,29.800,13.180
2018-06-07,17,12.420,12.280,12.300,224.29M,18.17M,126.84B,12.420,12.440,0.8035,15.46,3.78%,12.420,12.200,13.000,9.740
2018-06-07,1928,44.950,44.950,45.200,812.30M,18.12M,363.13B,44.900,44.950,0.1986,29.02,4.43%,45.350,44.600,49.350,33.800
2018-06-07,1997,62.150,62.650,63.250,120.49M,1.94M,188.70B,62.100,62.150,5.6709,10.96,1.53%,63.250,61.350,65.150,46.550
2018-06-07,19,83.200,82.450,82.800,129.36M,1.56M,75.31B,83.200,83.250,17.341,4.80,2.52%,83.200,82.300,82.550,71.850
2018-06-07,1,91.050,90.350,90.650,482.44M,5.30M,351.24B,91.050,91.100,9.0987,10.01,3.13%,91.450,90.650,108.900,87.100
2018-06-07,2007,17.280,17.220,17.420,692.61M,40.05M,375.68B,17.260,17.280,1.228,11.36,2.80%,17.460,17.200,19.160,8.370
2018-06-07,2018,131.300,130.200,132.000,1.31B,9.98M,160.44B,131.200,131.300,4.3467,24.14,1.60%,134.600,129.600,185.000,87.850
2018-06-07,2318,79.550,77.873,78.850,5.49B,68.83M,592.45B,79.550,79.600,4.9946,12.86,2.59%,80.450,78.750,98.850,49.750
2018-06-07,2319,29.400,28.800,28.700,397.10M,13.53M,115.46B,29.400,29.450,0.5258,44.68,0.50%,29.750,28.600,29.100,14.500
2018-06-07,2382,168.300,168.000,170.000,791.01M,4.72M,184.62B,168.200,168.300,2.6676,50.93,0.48%,170.000,165.500,171.600,55.650
2018-06-07,2388,40.350,39.800,39.950,354.26M,8.84M,426.61B,40.300,40.350,2.9387,13.73,3.46%,40.400,39.650,42.150,34.216
2018-06-07,23,33.300,33.100,33.150,36.01M,1.08M,93.49B,33.250,33.300,3.21,10.37,3.84%,33.300,32.950,36.000,30.550
2018-06-07,2628,23.050,22.800,23.000,813.39M,35.24M,171.51B,23.000,23.050,1.1411,16.28,2.15%,23.200,22.900,28.200,21.100
2018-06-07,267,12.040,12.060,12.120,166.26M,13.83M,350.24B,12.020,12.040,1.5092,7.98,2.99%,12.120,11.980,12.800,10.700
2018-06-07,27,64.950,65.900,66.200,1.09B,16.79M,280.47B,64.950,65.000,2.4513,26.50,1.14%,66.250,64.550,73.850,43.378
2018-06-07,288,8.060,7.910,8.090,253.55M,31.46M,118.28B,8.050,8.060,0.0779,13.27,3.35%,8.130,8.010,9.900,7.160
2018-06-07,2,83.150,82.200,82.400,286.67M,3.46M,210.07B,83.100,83.150,5.6399,14.74,3.52%,83.150,82.050,85.000,75.050
2018-06-07,3328,6.440,6.320,6.330,394.23M,61.44M,225.47B,6.440,6.450,0.91,5.68,5.53%,6.470,6.300,7.130,5.470
2018-06-07,386,7.620,7.550,7.620,849.89M,112.25M,194.41B,7.620,7.630,0.4233,14.53,8.05%,7.630,7.500,8.350,5.400
2018-06-07,388,263.400,258.600,261.200,2.57B,9.79M,328.39B,263.200,263.400,6.0309,43.68,2.05%,265.400,260.800,306.000,197.600
2018-06-07,3988,4.250,4.190,4.210,1.31B,311.31M,355.39B,4.240,4.250,0.56,6.09,5.16%,4.260,4.200,4.960,3.570
